,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6615.779497002857,189.02053522047794,2038.818903726064,389.13566479025195,1179.191776689573,2553.663811879327,5235.6458055072735,1.6932810073125137
1.0,6565.00597083178,188.99292619144754,2037.9608059678005,397.2181689087535,1181.00323510219,2603.9610270009307,5239.461830337144,1.6922179585995736
2.0,6789.417957455443,189.17675660685327,2036.1049301035637,413.9154096160891,1192.5623568068006,2625.6430659363546,5252.066253674781,1.6912145349861383
3.0,6860.459924436827,189.045283018452,2038.2671788017453,412.6045663868202,1199.093362696605,2603.4877096233727,5258.256948779304,1.6900858750055805
4.0,6630.776210346886,189.04424183369824,2040.4018467998999,409.53721855395025,1203.1112408547035,2535.8872640419195,5217.862924477251,1.6887976621379779
5.0,6649.938180206669,189.3388031329837,2045.4444369929422,414.29628870668853,1209.3918330727254,2559.367527993964,5211.127608190658,1.6877522142051211
6.0,6780.583502408865,189.10586310777967,2040.9407231232192,419.9834218342872,1215.590831882849,2545.787765814516,5188.237018157177,1.6866775292223901
7.0,6921.6383714027725,188.94396530579786,2043.2227954771165,427.9881719216097,1220.7420147417845,2528.187294105759,5192.7530823583975,1.685678454458236
8.0,7151.273653495779,188.7412355870955,2038.7100534914803,430.86166470161794,1218.0773165125072,2484.6420198186393,5223.812745637966,1.6847543079672094
9.0,7018.091086542309,188.6965531646786,2044.0361385739418,428.57280201616607,1215.434973753129,2463.759361293055,5243.428627138272,1.6837389113088583
10.0,7114.503488626018,188.78569871498837,2041.9577954364354,426.03345976384134,1220.5995983551193,2447.4528602052524,5254.866189163815,1.6826407457258492
11.0,7322.485554250275,188.53495986231567,2046.0496461151542,443.150368730364,1220.3146530654233,2421.5854236431355,5296.672466498861,1.6816518710491455
12.0,7586.941887605023,188.4564985510806,2045.2776644496987,444.0362959766142,1222.1693085881511,2455.8747319059494,5344.899362710959,1.6806540518165067
13.0,7626.731422674472,188.71376331945805,2043.8635614125499,449.1841149192202,1219.583507221653,2501.504349731445,5366.89031371471,1.6795860547579002
14.0,7594.1664329648465,188.69474176957434,2045.8184552530765,452.572086715338,1196.8439535140992,2474.1035635119138,5386.119639406371,1.6785950722963892
15.0,7550.743926333416,188.71822971633895,2047.7261576682886,450.56839897309186,1194.7735119651354,2479.024885776406,5381.927690266428,1.6776287292285976
16.0,7485.03613423145,188.81845492149742,2041.3342060208145,442.6086320419702,1202.3469729209207,2455.0022910615457,5356.243934248164,1.6765482484871586
17.0,7694.301042111475,188.83816067070632,2028.0675621443404,439.5423874035451,1177.917087286865,2436.3677164926917,5351.213305328747,1.6756098348351356
18.0,7662.948908411847,189.24702654290263,2038.6894722460959,445.14758330884865,1169.8849958573521,2420.222941136375,5343.930614077351,1.6745569921257741
19.0,8124.927126133911,189.22748816377398,2042.9431505198716,454.638775603437,1179.4158208816064,2427.7986602734113,5371.88266270859,1.6734583496873472
20.0,8119.458902325488,189.55877548345114,2048.1083043394515,465.3472105739314,1198.8298814338016,2427.465961728931,5384.350759892895,1.6723616374151862
21.0,7989.155078064039,189.71020121925739,2048.3455149884962,466.9979314313464,1192.1426454060502,2497.3716208174314,5382.774726130251,1.671253609388681
22.0,8255.90665124519,189.67822859536702,2040.0273866995492,459.65873702788565,1200.4712119912988,2519.883472303772,5402.787049420787,1.6701417806010932
23.0,8678.163584960686,189.91421810066407,2042.5116276600897,473.46737419136036,1210.1010975188215,2570.8662405303244,5452.129087774873,1.6690633080022415
24.0,8603.599234844027,189.79668973452496,2045.9829988161543,479.932453013089,1200.571479039319,2574.955670461779,5444.752701063397,1.668045226660595
25.0,9110.88408331984,189.7524292949317,2045.6250692101082,494.61421049178637,1220.1305496694795,2636.893518369812,5490.150681309918,1.6669229493659232
26.0,8808.753152908203,190.32455459167707,2048.138714325025,482.80522798581023,1197.310153140182,2592.9597997133114,5484.969521507099,1.66576388311263
