,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6469.4638508659555,189.25889338795008,2043.881092622112,387.03424841713905,1170.6514238875982,2595.9626045230634,5225.164829453737,1.6931847403279157
1.0,6292.119928133447,189.4014781418729,2049.876881890717,379.4022929867988,1163.7211256234114,2576.236357027601,5212.673985939782,1.6921250885115935
2.0,6377.660450646775,189.34560004793383,2051.738654580242,392.26180843935884,1180.076695844955,2586.568632842043,5210.611974235996,1.691027568353815
3.0,6335.66162043278,189.50023612149232,2048.376224251386,391.05191406667274,1178.3293005081207,2640.6499674431225,5229.339000959734,1.689980907043332
4.0,6673.519770866699,189.09770102739893,2045.0351012157548,401.5280505999889,1196.8971263743201,2650.5065097498555,5266.419651624876,1.6888588886941307
5.0,6566.901858441155,189.46786808276795,2045.5862549438034,408.75340158065814,1209.5323193676616,2677.8677435142367,5329.107140826609,1.6877249181542757
6.0,6954.146250355799,189.14408707011575,2041.6190594701447,425.59435155499517,1207.6172910987837,2642.51977020768,5372.252333638737,1.6865494382632111
7.0,6748.339649980704,189.1453778279104,2033.8983924054546,416.8514540464125,1209.6721602639227,2674.8533072051614,5357.5817483020755,1.6854553424912722
8.0,6642.729045662488,189.00475822949957,2032.016797968427,420.3560253138158,1206.5837475837723,2671.911986981829,5337.114586542243,1.6845940650450204
9.0,6459.133284665103,189.39759255350737,2035.1856152016464,415.0532340470138,1211.5816858997682,2682.845016962387,5341.669456358002,1.6834609163163505
10.0,6499.252597396794,189.5294462769265,2039.0985051586076,422.58686364574044,1201.4525535859575,2663.9084260426757,5331.328785650722,1.6824822217893776
11.0,6736.991294092505,189.5657488831762,2038.0561395021737,437.7737708715933,1220.595047175112,2592.824518931392,5327.047625590341,1.6815415501882691
12.0,6541.826778341131,189.31701754832068,2029.2399919899806,435.0203701935604,1225.347460976051,2601.115724568837,5290.193046729617,1.680637719488212
13.0,6782.300910645515,189.47351977594053,2025.0676760597646,459.42528887449,1219.3699355181711,2609.5439297902435,5304.653935156083,1.6797139926319833
14.0,6638.892005378923,189.2744719546446,2022.9735684330014,460.06457580608566,1212.418334777975,2585.612447662502,5269.89953531958,1.6788578866885402
15.0,6430.064590125249,189.26694918680477,2024.6931869331067,447.88721128334674,1231.6497964048422,2619.5355981867738,5257.708942124807,1.6777779359307514
16.0,6380.455416074211,189.3126626659894,2021.3386670744167,440.2241155741171,1219.6102785663131,2507.3544790604437,5273.905244011986,1.6767423783575155
17.0,6540.184617634596,189.18763533294018,2018.1060240694567,444.77381299101796,1235.2762061785863,2561.522298915366,5263.39655931095,1.6754571974235621
18.0,6236.579020506158,189.3257298820093,2020.434780922297,431.59982003591483,1235.534347037139,2547.524049240851,5209.475506213811,1.674394014020061
19.0,6176.874935925268,189.97066715996723,2028.9025644277344,436.686887584175,1250.708068224549,2528.1131524553616,5202.8262840887355,1.673211357608381
20.0,6450.7768683629965,189.54364138034063,2017.6813006080708,434.9384767517381,1267.425317146236,2495.7488824274965,5214.611186105362,1.6722513711976603
21.0,6171.5382105048175,189.13419812690117,2018.6817885488788,426.31629061261447,1260.3273005281424,2471.3898201456836,5211.332968426946,1.6713517905073536
22.0,6369.159365378756,188.9206211649284,2021.6215796398442,442.3748997633716,1279.191831759059,2466.496628784356,5226.30698276908,1.6704381644471098
23.0,6208.75314454859,189.0569543358888,2025.6622593170048,442.9931173361074,1290.4677048676986,2551.338183729849,5223.348925819385,1.6694484101739568
24.0,6089.208234623866,189.26976489958577,2027.9570131772005,450.48132076123807,1287.6967828941533,2532.317873521383,5243.439698642914,1.668315716069283
25.0,6102.9220164175795,189.40295312097325,2032.119791438641,444.94132718477283,1292.7439246908555,2576.2631488608026,5196.651497976209,1.667415714505406
26.0,6150.004966109109,188.96338847815738,2032.3880130358168,436.792841020213,1316.3692011286885,2589.4792017750015,5217.521366669485,1.6663788443316858
27.0,6562.332504322001,189.02297996767686,2034.1049148687325,457.3083976362556,1340.3447079259442,2606.169604780624,5245.370197996023,1.6654609846074282
28.0,6518.888101007194,188.96111062844938,2034.7533682603714,462.34518715114683,1345.7529674633888,2583.7404508070586,5232.575793610277,1.6643339683573417
29.0,6304.6773099721695,188.6858031397265,2038.44640811042,451.3991291900975,1328.991459733209,2606.136131800554,5240.713695302475,1.6633640365498066
30.0,6150.9263731743595,189.22027960054064,2042.013574037111,446.95716580055137,1320.6963281901385,2538.209528181033,5234.975133924315,1.6622740299431498
31.0,6046.664997177452,189.29823898568458,2047.2307485125107,443.2912420442343,1304.3020009305262,2487.9692827439176,5231.443239566334,1.661265508856304
32.0,6135.706734663014,189.3018380416671,2042.5380313849937,439.9885573834894,1314.1588612677992,2559.9571549900834,5283.2035661343,1.6602232650410647
33.0,6113.886656180827,189.31151454682666,2041.5514746667288,429.7707132787009,1302.380011411167,2529.680000025605,5310.130728358246,1.6591793162546384
34.0,5910.129334834777,189.39176296771709,2042.60629424513,422.39185489081746,1302.402187526145,2449.0235039247495,5290.582683131593,1.6581937191261475
35.0,5691.867385906754,189.31841310790145,2040.3038151674111,431.98165532768564,1280.1298013050312,2393.444917509519,5287.734213900185,1.65717378866952
36.0,5817.3576720840765,189.17230073814682,2031.3208236197618,425.34913955066366,1299.976423304743,2469.7123387387574,5297.891962954336,1.6559450156491033
37.0,5992.273835990262,189.43828118310358,2026.974966680164,442.0445045593506,1293.2852274096101,2465.1253633600645,5324.262018336075,1.6548528124090631
38.0,5777.098292213381,189.78957844255766,2035.9304903434922,445.14649613861025,1261.1888038847405,2434.4075991720842,5308.561048614493,1.6538699362022813
39.0,5730.940632713743,189.8393706315579,2028.3762882005808,441.08757428153973,1253.3698032719662,2436.4091099125353,5295.732369267401,1.6528207343187797
40.0,5643.57155684084,190.29175097836,2034.6300227913296,451.52822939072723,1230.4080642425463,2408.373270599651,5294.709573467365,1.6517536929787904
41.0,5579.840139795416,190.15021027427443,2038.045835348793,458.98591460733303,1216.7341584453973,2383.722601997577,5273.9328935476915,1.6506920332760588
42.0,5373.551004680003,190.41963855326497,2040.1147408195225,456.03134612661887,1196.0355712711107,2395.7116324845388,5270.0864564496,1.6494211369980956
43.0,5462.584613591312,190.28163022308985,2038.413995032354,459.2909280633075,1186.3969575254478,2413.825954508879,5303.031437873856,1.6482415360398586
44.0,5509.598597630989,190.06178562774843,2035.4137833151103,464.89720489444466,1193.0182439979483,2367.356533521855,5327.007260869632,1.6470860712844024
45.0,5521.356410120981,190.0125049676187,2036.6542983632198,464.7770379527449,1205.8984070579336,2434.9116770922333,5342.842221782514,1.645797325495242
46.0,5488.0983850840685,189.7253804708956,2033.6758115418418,463.3105324093734,1192.3870212857755,2406.1171112579345,5316.807680972668,1.6447356506915214
47.0,5675.583912517188,189.92635400630738,2036.550653307893,473.20190768106306,1209.3547875929123,2434.942142444316,5332.581846706777,1.6436752627664124
48.0,5706.996958780461,189.82956074496198,2036.0485029256674,477.8202027495041,1225.796278781652,2410.68275774392,5349.521924293939,1.6425716055040014
49.0,5547.332882044673,190.18833847182944,2035.8368359776482,473.0662565201257,1212.456870407196,2430.256841509168,5337.369531501778,1.6415692164755409
50.0,5411.501965117655,190.15474575793968,2048.494498268913,474.16546446645947,1211.7789510828145,2411.7377503355297,5339.571906158032,1.6405049513816499
51.0,5256.1814655216685,190.09297912417762,2046.388656490246,471.0242162511083,1198.1229914890075,2363.2013237320625,5316.246668045222,1.6396391412318814
52.0,5153.482624078461,189.86437176260674,2045.6998739726062,472.1859826003648,1209.3395244562848,2386.5915770501,5305.436049585193,1.6386268946548221
53.0,5217.73181754375,189.82431271701458,2044.2349712796495,477.03302165077093,1221.4877311995263,2400.2172612272034,5314.798569101216,1.637563433123045
54.0,5188.408480492119,190.32435546997544,2051.821019932237,478.6371598538001,1217.9961402485785,2392.5964111227104,5365.455958886511,1.6365813358359287
55.0,5067.539844454965,190.24977500143092,2052.1673811049523,469.67727694251545,1222.5803160839498,2320.485511645317,5363.735309665568,1.6353114011577743
