,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6257.221427071301,189.86173866618884,2048.4503815172234,385.3948525995391,1135.5302231166988,2495.7995426268562,5236.031448229917,1.6931696604509643
1.0,6215.5904074211085,190.02083855307046,2046.5022874319457,389.3187876091087,1131.0654432440715,2487.8591216610384,5243.97576829106,1.6920218266925826
2.0,6299.830129772418,190.49771695388893,2049.506234814941,397.3061872447714,1153.7034891549558,2480.6059027736146,5279.41037324782,1.6908960851472903
3.0,6324.476441586294,190.6729303944796,2051.6145116046227,397.58197833892024,1162.381253030674,2462.411938473351,5271.606003403665,1.6898440553197411
4.0,6208.756009617789,191.368749609383,2060.1570914404424,395.70923401238014,1157.053465921956,2425.3644833972708,5282.82053798697,1.6887546430830467
5.0,5974.916647696841,191.13204835051178,2059.651716981318,384.38650353616913,1177.1485261082,2446.3631267657493,5241.726182866289,1.6875997187501355
6.0,5949.737294046809,191.45281124381023,2056.411748093132,383.93114718259403,1166.411444338812,2437.7725864374293,5290.9279573433805,1.6865149969093616
7.0,5950.824776107737,191.55292153361862,2056.4456065913055,383.1941765471692,1161.1201277536643,2423.1401647022303,5316.925333701955,1.6853915141232716
8.0,6049.0546082968895,191.56972948191043,2052.181600740289,382.45477053195236,1152.6161194546607,2390.2069410350837,5351.929017053124,1.684249593656708
9.0,6196.009675676245,191.57322496731354,2054.228530488358,389.84101787183096,1139.9047058120802,2425.607159398911,5347.118814881394,1.6832738641808456
10.0,6251.40064190059,191.8522497881041,2056.4967770506414,398.59102506226725,1131.7319154072877,2451.5227686685016,5336.1308262942475,1.6821029283700162
11.0,6223.904255248561,191.8267665228919,2059.3420145980426,394.04709687310344,1148.39356181479,2440.4637709946887,5310.106719814177,1.6809427909590753
12.0,6484.05450570982,191.9814525205681,2059.460100809782,412.26971885767404,1159.0506566789659,2446.133934613891,5308.163975028229,1.6800457700272975
13.0,6407.970230797851,192.1378037476582,2057.4851284553233,409.9231932711333,1149.99993615843,2453.234368938242,5301.60095192587,1.6789064398520621
14.0,6503.256166574383,191.89096587806466,2056.187156932496,417.0233615899377,1156.4129560216127,2489.533975558662,5285.008927271766,1.6779053967268036
15.0,6444.732488520645,191.90182751967458,2046.324087641607,417.1522810202623,1171.744544156907,2475.4369364197864,5307.887994954138,1.6768968050889816
16.0,6159.541605229244,192.1610849986793,2050.3929601052837,412.1933761804025,1152.0306887087947,2488.525325305956,5295.13044617762,1.6759127778218836
17.0,6119.703377569146,192.43179415225205,2055.2574035745306,410.6963543250209,1164.9062479183506,2469.95197600968,5289.313813735478,1.6747680767350668
18.0,6187.789999473997,192.20024916092797,2049.862406516875,407.8427044692913,1157.1933844782188,2474.950528082921,5275.584272669979,1.6738286535937583
19.0,6154.754469765795,192.4136128563733,2052.1775814632124,408.4563093713303,1170.6639746011847,2512.277866868227,5264.657532235146,1.67258527392343
20.0,5942.235423214654,192.60097553389457,2056.387021838485,406.78239666018953,1184.4212254840145,2531.0289198306027,5256.684177928393,1.671532524530091
21.0,6200.397358118574,192.7588255756691,2054.5207290977437,422.1433050830354,1175.3693335052074,2525.0133463245597,5263.313523270232,1.6706715992007186
22.0,6089.0356650959875,193.63855385779058,2064.79865376111,431.67872053527867,1177.6613991520355,2505.941336758878,5272.835936454408,1.6695768978966226
23.0,6074.521174088625,193.77002005591282,2062.181407243404,421.82054302400996,1168.072570159035,2519.6679656888573,5297.043610136118,1.6685768031523287
24.0,5984.894972838043,194.17567119062355,2059.0145846956707,421.37449500427647,1164.8354178868271,2525.5454959077856,5278.902826192062,1.6674793200031661
25.0,5901.697949570733,194.49764161017467,2061.8981724492883,410.6634015328854,1153.9418533215787,2503.5007892161902,5310.094087176487,1.6665483385341557
26.0,5633.5387040607475,194.74385734791898,2062.603525524093,393.7398924669936,1116.1599150582263,2431.7669386160733,5315.160338240373,1.6655966513933296
27.0,5308.703381405556,194.88702228980523,2064.206185832563,396.35755775140933,1096.8400702239257,2471.874011348958,5258.126053018799,1.6646352098499693
28.0,5399.04422658653,194.8270892715072,2061.9061315132535,394.66079037352995,1083.0376250015179,2482.716885173171,5274.918012582809,1.6636716575588468
29.0,5415.021124902452,195.01519259776794,2064.9064659993046,388.34211003104724,1068.0955429905064,2446.6564505394495,5284.056718333518,1.6625561187104827
30.0,5509.351211609572,195.3926820654901,2065.739845413909,393.30189151736573,1090.2044513855024,2472.4005644317776,5306.21460912668,1.6614356644429857
31.0,5337.484840742142,195.75974089559168,2062.863568991079,387.0675796019614,1082.6526924525242,2458.966683364159,5268.168455428686,1.6604182836391013
32.0,5294.186557355552,195.6436397369648,2066.4368111418926,381.84402303178075,1094.6094044601737,2430.738900282251,5281.116271851501,1.6594672722707244
33.0,5368.8740534437065,195.30207792557476,2058.467172641221,389.2056115961218,1088.4334796014834,2472.571845699155,5296.464683249716,1.658372401212282
