,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6314.407559768137,189.7152714547784,2050.280373484104,391.51424146844187,1178.4924520824163,2570.405570618927,5205.292580201847,1.6931416842799025
1.0,6435.896853300066,189.55227338734625,2047.055006741125,397.72802163145354,1187.6091433333781,2558.9717918547267,5210.255225403615,1.6919329297283545
2.0,6334.292880439827,189.51187478948893,2052.5623392500092,402.0733215634891,1184.466599756855,2609.8864140025125,5183.438655925468,1.691053533902444
3.0,6342.042713129268,189.39642369089694,2053.3022197298133,401.06476752842946,1196.1350386029067,2623.560991996212,5163.329565218299,1.6901177329688333
4.0,6441.420295238793,189.20745102753426,2051.58105256053,399.9613617695955,1231.7358158300356,2635.443104210354,5194.299972476465,1.6888871245204766
5.0,6454.70359079736,188.89375746549473,2057.7066135287123,392.99253029845124,1224.889021343743,2616.768150523462,5151.427811407114,1.687899199749406
6.0,6555.069154875445,188.9474391166791,2061.152247720642,396.57290888572237,1212.8673178967272,2559.7124043105705,5153.4222135888895,1.6868405697679907
7.0,6493.8379040089485,188.724866888669,2064.6068317529516,404.3849798681561,1212.6520058982267,2508.779758278861,5167.308945961402,1.6858687729595063
8.0,6594.783130679854,188.64917821614458,2062.9310603396775,414.1697558709673,1219.5981946841323,2481.914506444501,5174.193058498909,1.6848947089183137
9.0,6628.410995022518,188.9188679281333,2061.7903608462307,417.677693619914,1217.2244341529902,2440.1991755403715,5199.5491787845185,1.6837877820149645
10.0,6770.476242885044,188.8672949423681,2058.6353058840905,414.93612764507435,1214.4665737136827,2490.5556186185586,5231.5844503971275,1.6828428416635506
11.0,6662.334022227696,188.8237794272142,2056.476951305927,404.85960188502986,1194.5434299130104,2469.264844739223,5224.092293764384,1.6818323052414328
12.0,6702.124262835472,188.85155813768966,2054.8530896208554,408.1224195590984,1188.0937168411801,2464.1683096325946,5240.799054972195,1.6807271176529541
13.0,6654.53282857807,188.9852172534764,2060.7535386268964,400.89015309785873,1176.0441586321058,2441.5117707503073,5257.929362018933,1.6796351866828063
14.0,6876.292244250414,189.03486979278887,2058.8611165065654,404.36830082937666,1184.3946555753914,2392.9213252498744,5311.025020807924,1.6782676701399284
15.0,6685.185732475906,188.924052936853,2060.6017676142933,405.1989427483259,1182.6528654094268,2383.705443977594,5272.93991644123,1.6771447668993165
16.0,6824.397639177982,188.8091649594635,2062.4794961358534,400.90662046440997,1182.8799958750776,2362.1258409527873,5278.99823675187,1.6762385872273404
17.0,6918.753453354593,188.7251384215879,2062.2592831546217,404.4638491309359,1167.6841429894027,2363.639645566345,5290.814413593752,1.6752228035525474
18.0,6665.71619655738,188.9788341647692,2062.1061494030046,398.79825577608074,1167.1963717117749,2374.7701226996455,5267.66066798367,1.6740124148910858
19.0,6631.739910333893,189.08850829452217,2069.330281342084,400.8759732654878,1157.4791796175853,2357.028355281393,5262.159210031884,1.673006533402862
20.0,6569.572631659214,189.19841341911632,2068.7600660819803,409.33213017285544,1144.6717934474104,2406.905837006249,5259.224353501088,1.672205692999797
21.0,6619.228458214959,189.68292078224977,2071.961862327264,416.54444275036326,1148.4706197361272,2444.1181870101555,5257.212168116255,1.6710482132584303
22.0,6623.038435940753,190.02535348537862,2072.7031883980967,426.84862011397496,1136.2203515731949,2424.135908432078,5264.36886674528,1.6699552913870324
