,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6051.637896912752,189.8052650579872,2047.8815000150835,385.3828927940281,1156.1359555463566,2531.924659095989,5141.784279690426,1.6930929878590864
1.0,5860.869577186059,190.1076638563951,2053.017739428653,388.5796303902539,1169.585412028144,2531.0273989421685,5157.765207576934,1.6919424076980367
2.0,5802.636886209097,190.45757920783686,2057.745188900044,391.80004801551763,1159.4440388953776,2468.5680334877293,5163.6530380162485,1.6908087039920523
3.0,5808.523092589202,190.3837702632779,2058.824277363729,394.39892622586996,1166.7986321240078,2457.3058950019968,5178.068904363261,1.689727946122591
4.0,6041.782026144274,190.1929164380242,2054.0593686848893,395.8507170246684,1181.5156373363607,2481.8460313488968,5195.850163800724,1.6885636673315132
5.0,6234.156721750518,190.09732334270467,2054.477180779054,401.841143910008,1194.0392043843126,2461.3658200205377,5184.470649565994,1.6874648768939888
6.0,6364.320986723192,190.20720822694355,2050.7245644490595,404.7466209232592,1212.6660012705624,2448.763243197814,5211.035195642304,1.6863601099880763
7.0,6486.518381147009,190.36369058376243,2051.3680945369156,402.1531759539004,1240.414637894201,2481.687979668625,5227.6575949907665,1.6852410671754794
8.0,6484.404382221528,190.16548484988493,2050.3154363056633,403.48014274511485,1222.565309674092,2431.6509137239777,5231.810669177956,1.6843829477647398
9.0,6489.2910196960065,190.2544397434995,2046.2266373264845,405.6604940840547,1228.0721788725514,2389.066605626166,5251.717193809143,1.683135042382493
10.0,6379.67908884641,190.1659975822185,2043.2909184146997,400.04783371536456,1224.0031625012725,2408.5942130864346,5240.213865339459,1.6820442496499823
11.0,5961.232535562428,190.13360914044353,2047.8066913127475,398.32034676391237,1197.8813098917788,2348.9540061145613,5186.004972152644,1.680995601690384
12.0,5974.41622449118,190.40599697047853,2044.5465959314602,402.38064678726647,1200.2446017032544,2381.515844970459,5208.265712303133,1.679773130276686
13.0,6004.214551820458,190.3826402913386,2041.3070671001792,408.0891891613366,1199.698196606028,2380.1184522614917,5229.240707149041,1.6786220341444136
14.0,6152.0024645591575,190.00752237578848,2041.4747044284188,408.13249472570595,1201.8078718326358,2344.4823733468534,5230.669973631119,1.677572014724675
15.0,6065.77704140179,190.09636839033197,2035.9698035350477,394.5734705360594,1184.7294494820824,2292.0569723732606,5228.149495767442,1.6764933033047247
16.0,6118.772940653633,190.43394630290842,2040.3605726414676,387.3049990562316,1170.0215027037189,2271.831272694869,5229.291304067321,1.6754559909372693
17.0,6080.055767144284,190.90896486795845,2047.0823282774197,380.72828416564533,1195.0165021390862,2224.635600181503,5198.101051661111,1.6744745423389935
18.0,6220.031925146745,191.24697284070209,2049.5835604832646,388.7209566569132,1210.6735520862705,2141.615723323561,5238.795118831551,1.6732931474558945
19.0,6381.385197770273,191.04217158353865,2051.9331339638657,390.9717413201485,1223.6444261369788,2140.952589989739,5264.1619341929945,1.6722890489826114
20.0,6353.509511159748,191.16586358688076,2050.4968972567412,395.5154532448218,1234.681089594754,2169.6530164739684,5252.508138310896,1.6711520540013323
21.0,6434.966513447714,191.71282841300587,2054.3763490599945,397.72455234741614,1233.2319075610294,2122.095537088303,5286.179031364688,1.6700048949943997
22.0,6653.141624839865,191.42083404650228,2044.930564014886,406.09325693130626,1243.5742737551022,2108.776711462592,5325.050107692253,1.6688440558748923
23.0,6502.68252697254,191.4259861407597,2052.3187587656075,400.50893895924827,1254.2318037817906,2107.089965786445,5325.5691751448285,1.6676270550758014
24.0,6497.360333901537,191.1968703337935,2053.694351969901,403.090388780738,1254.1179963366067,2095.3694339429303,5309.6082933395965,1.6666408373812205
25.0,6463.569923328827,191.65259452617047,2056.868117052426,388.81330179598626,1261.2910920116567,2075.4214197949404,5327.444824323143,1.6654469552609603
26.0,6240.962674628699,191.78000343119805,2055.5989330824173,383.07633092216895,1257.929758764921,2103.447256941367,5300.237564729917,1.6646046369423435
