,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6315.364123530668,189.69241642859097,2044.221029847401,391.05117363084713,1146.6849651619355,2528.3374403868906,5178.533919169494,1.6934834871944593
1.0,6315.441156578358,189.69649441493868,2047.5442935316032,388.4818658678976,1145.9925886325116,2523.1472721593527,5208.939308787041,1.6925245407534253
2.0,6468.792249408847,189.6122590257389,2049.4100070518457,387.30177348576734,1155.7147297463991,2551.378370176367,5222.1618202236195,1.691491118882961
3.0,6488.64628330368,189.72343208671333,2045.506830995982,389.85395295363406,1134.5663913992453,2487.7949428267625,5206.668378249632,1.6905002138543692
4.0,6288.737669621815,189.5466497329968,2047.6424069168368,381.5672080561711,1122.6149406080965,2462.1538646635054,5181.91827493785,1.6894246918282294
5.0,6216.053350084588,189.87119645893094,2050.8579803157736,385.5554494226254,1138.05746579868,2512.3512612446666,5173.596005407229,1.688233719289953
6.0,6481.673587766387,190.24512973523403,2053.1783531988976,388.71926722973075,1158.0304905103721,2498.169714786144,5213.784520024622,1.6871804560084849
7.0,6540.143781755906,190.4825863799242,2052.867461016204,385.77468779308583,1149.310846156949,2480.2088519461354,5189.987356058158,1.6860123972557015
8.0,6416.710037198873,190.56653360335557,2052.406149831219,385.03935594558783,1144.1861941308928,2455.866361301044,5188.07890438843,1.685092799735996
9.0,6393.790184514488,190.62493947263016,2054.904579910463,386.18004776932105,1149.926589877321,2472.366431217033,5172.495468919995,1.6840945853674834
10.0,6544.899491896362,190.69777344426788,2055.063875178385,390.2834379728024,1149.6363988246649,2510.0656387372833,5188.988205673426,1.6829172208641796
11.0,6532.680062211953,190.96725988689758,2058.9520771253447,387.65695381451366,1175.069904486452,2562.131136729482,5211.895788438113,1.6818738048159338
12.0,6612.098074253979,191.00693871613242,2056.8923539781445,394.3417837093184,1158.64892457437,2514.525422157992,5230.782985982539,1.6807750834198794
13.0,7183.990848108289,190.63100424778656,2053.320978255162,413.00145897165726,1182.2296190115642,2563.477624353584,5276.028730156668,1.6796292346673036
14.0,7157.486782676952,190.4398243402913,2047.1530671468504,406.96214664680826,1189.5427108381646,2603.2293603300363,5298.536669625166,1.6784860002102884
15.0,7050.018224422308,190.7076124007196,2046.6559218195287,406.65633999653926,1205.74371124756,2625.9121239575807,5308.41225004452,1.6774678188725776
16.0,7114.007835603093,190.4141040370204,2051.840259144975,412.55283551792894,1216.7818243864774,2728.7934291512856,5314.182333432072,1.6763004368946888
17.0,7210.0842704391425,190.30487533817535,2047.6286462276823,415.7533303655691,1243.2901211772275,2754.065249212685,5348.7857921805,1.6750504736906202
18.0,7275.1626657620245,190.34522125558777,2052.0896822159584,415.50536382007084,1258.3244047001065,2740.4555013489576,5367.1202151309635,1.6738915102418814
19.0,7380.335344876081,190.33157067816924,2051.9162928701403,425.4591879341542,1255.6527585970357,2769.25955029186,5384.874543043858,1.6728147504363342
20.0,7559.849324648005,190.38657885770695,2051.2404447269596,428.04602464700315,1259.5285940773754,2799.9223751809354,5418.149990746158,1.6717333502392384
21.0,7603.600670545847,190.09985241941925,2050.7626535231334,428.56127637745084,1242.3145337637961,2768.6103756859807,5418.152886256688,1.670718477977995
22.0,7535.876198755383,190.1170586065908,2050.3707088638525,425.00975142069274,1236.143052612574,2816.0840622960445,5417.827506367661,1.6695453458117366
23.0,7583.314850604139,189.57702531639305,2048.208499187931,421.7625305205515,1237.2728698377425,2906.430410470368,5403.015150084339,1.6685559205715097
24.0,7951.205429498663,189.51058046236156,2047.1429379212025,422.2962441655765,1235.575956861618,2909.614763767222,5430.360365780266,1.6677210270515348
25.0,7973.851565624374,189.68928833390098,2048.252138882428,424.0094173143627,1214.4875955359446,2859.685242300454,5397.65203793448,1.6666551064931716
26.0,7858.757251520568,189.9349018864408,2045.9622890275696,432.4367531601095,1203.7547464400977,2894.5872136704743,5394.230377709343,1.6656423132244242
27.0,7953.796025797701,190.34088876482366,2049.8115713590705,428.7171729420145,1230.7828848645079,2886.4681431031277,5407.2101221589,1.6645123937138593
28.0,8128.291696593288,190.12708810328485,2050.2371857687203,439.4806493400851,1224.0662157423692,2828.1191520297507,5482.138809885674,1.6633863519128531
