,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6442.052299481085,189.5191415699499,2047.0517792858532,377.1063169876507,1169.8631328829993,2526.945990942197,5240.686299263488,1.6931497609229116
1.0,6346.169650077172,189.692191823295,2045.9978561985733,369.94706988644543,1176.698212944824,2577.916678792571,5207.017431923178,1.6921342227201086
2.0,6496.399866069813,189.23187632151186,2044.8918141831673,372.6390532024802,1182.270221261748,2605.8911401379255,5226.598335258975,1.690941570982503
3.0,6679.874339933811,189.28264804110785,2043.2850730568873,381.6094056555722,1194.9443540843286,2623.5955827272705,5215.846547263553,1.6897883939512028
4.0,6588.708488023547,189.22392670134005,2040.6865276201818,379.16730803177353,1200.5059675522064,2595.4954137849295,5127.819295166074,1.6888127977420933
5.0,6459.137824428043,189.44307996123388,2038.8266093096563,373.1083759071502,1188.5443331357899,2636.916564613777,5117.496611604579,1.6878089051224872
6.0,6445.4942971872915,189.4570622809435,2044.2860527270964,375.86495225312564,1170.7007188202626,2624.368208287643,5139.934567262427,1.686596178253028
7.0,6385.354017822699,189.5114903640034,2042.0547985484595,382.4305998130482,1152.4702250613695,2564.1472471525663,5143.994065163376,1.685528993526043
8.0,6458.32268195582,189.39348340444178,2037.313778479896,392.7131922057829,1141.1006281548944,2582.57061287235,5156.244521859521,1.68448140449506
9.0,6830.707365823126,189.36653989370018,2034.4309387464364,413.61634982358663,1167.8488299270189,2611.964995024689,5196.940437137849,1.6835014297481143
10.0,6743.8508458966435,189.71098075028723,2041.7223072517893,412.5236211995123,1162.1383535396847,2588.0390809444216,5171.625335106784,1.6824115023226651
11.0,7022.4512826949085,189.39463521322824,2042.3078484298649,424.0260337049205,1177.2314861976745,2629.2759251267385,5209.07967386483,1.6813144766787642
12.0,7031.498242439475,189.4745368545315,2039.787627718083,428.1154373047725,1187.9996311272243,2650.550970811652,5174.471625332928,1.6803797819367063
13.0,7262.9510551805,189.44987570713243,2050.608215885278,446.73618835608426,1182.5414669546117,2582.48048575183,5193.80101395243,1.6794789200897497
