,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6204.486567381384,189.19274113862966,2046.5355578246665,379.0658426221815,1154.0495951246226,2580.3111983164376,5210.932008774083,1.693239207565721
1.0,6280.376839507089,189.27145823338708,2045.9328274469174,370.13660334898003,1133.0425416990095,2570.598016018281,5223.718677593295,1.692222508555557
2.0,6220.856418821925,189.36619011197408,2047.5334885059192,377.6450986591949,1109.1289986088584,2558.305617359426,5251.594083014888,1.6911526234048162
3.0,6559.838172955487,189.35185188348538,2048.6745458476194,387.8132619648404,1130.9570684062421,2589.8951816937483,5282.815047427728,1.6901774057067056
4.0,6368.798706327489,189.45892120637788,2046.5911483390876,380.79774813299287,1133.630388985336,2595.542548857059,5286.810443827056,1.6890923581430806
5.0,6094.392133513726,189.42073287257801,2050.7290932247392,369.42578417368,1112.6163699252554,2609.8155150011266,5291.04727007861,1.6880014879235228
6.0,6223.360314674613,189.1915345064417,2046.9005732139813,374.04962166949815,1115.3808386101343,2645.774475137016,5329.883756153314,1.6870098492232162
7.0,6111.892772762452,189.18305170496575,2044.5421235226415,367.62195554021775,1099.0970912294356,2635.199086937244,5296.317460015487,1.6861216536965598
8.0,6173.5319621541985,189.44357788160755,2044.4951930917823,379.82486424651637,1068.3879687983726,2655.782131781805,5302.0393362220375,1.6851707327445746
9.0,6074.254859513608,189.38654831758984,2037.262573022067,381.0586700709812,1069.7231553990594,2690.046524742788,5297.021196510217,1.684202638042536
10.0,6279.322096668739,189.6059627728494,2045.6101734489575,382.26531864320026,1093.110524046411,2705.0374807126254,5291.046685058367,1.682972864160522
11.0,6259.797423949148,189.67962302313072,2053.227112653943,372.34662253960136,1101.5879851659206,2702.1113372685186,5273.929204468849,1.6819599777373706
12.0,6346.293929911057,189.8257033467379,2057.265187206309,374.8465257912312,1106.756838713463,2723.2263864169936,5296.026935785189,1.6809588069417298
13.0,6238.845710265334,189.6686213410761,2055.0488471278495,377.2491834811444,1106.2238748566747,2714.9060762937916,5298.252201862162,1.68013545776268
14.0,6211.534753953118,189.7221998583929,2057.625380403223,377.66818722763924,1100.9078131305826,2759.273082372998,5301.837782779818,1.6789980660185577
15.0,6208.599821674637,190.11166387957854,2059.160865826216,373.8768439630434,1096.5435909178764,2708.7251878463003,5293.037468656591,1.6780476804913251
16.0,6038.277087277459,190.35977138086503,2065.897501696316,368.6008264355644,1095.3411963897559,2694.760991618701,5282.709826565967,1.677087945550244
17.0,5842.2087392772,190.62486343852268,2072.14093707261,363.4728210808192,1099.5325244777764,2661.924268301658,5264.922252102468,1.6759878328521831
18.0,5933.040129154693,190.4898539733035,2068.3464801122277,366.92053943473195,1070.022363219543,2603.1986532013643,5272.775365974059,1.6751048689232488
19.0,5923.905206986797,190.4300668230542,2065.2805996789325,352.21596636790747,1044.442534657977,2584.758061480409,5305.903968580032,1.6740035969489453
20.0,6108.517699589033,190.1641626705407,2060.41895207079,359.8776867338563,1056.261608230404,2629.615408964882,5311.66498747764,1.672803239774354
21.0,6021.937550908236,190.44306631255654,2072.6779211051876,358.7810537504367,1066.7096608620386,2656.545242009827,5289.918790664698,1.6717218754954721
