,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6522.5556437141295,189.1727683556447,2040.870648471018,394.0850455381333,1150.180310227737,2567.853636099681,5224.806726598371,1.6933044744254457
1.0,6461.200848829919,189.0530015647268,2034.4870553409844,392.83566427826514,1153.7812498605338,2584.4303607747647,5208.68939230701,1.6921859178800773
2.0,6716.848392559617,189.21793148172384,2027.9378156258213,392.5092044033313,1179.5976553304013,2617.8825766926266,5223.682458685172,1.69104000559558
3.0,6866.915017982864,189.29525233707147,2032.1344114961544,396.38167197650813,1205.8576524787834,2617.094743080946,5214.335864606317,1.6900676984726315
4.0,6757.016653940685,189.2308360436216,2031.7977967425375,399.23718406307137,1222.4372430534067,2609.422193901537,5194.908994276277,1.6890505058686964
5.0,6729.170230559585,188.88742056116516,2034.9495030618318,393.80679871455465,1239.0993682570859,2596.1968886888485,5186.275521471192,1.6880364956837757
6.0,6661.8075759205185,188.73671084904862,2032.6254952371228,379.4515523102639,1247.0734903028379,2654.1650157644567,5171.913041772521,1.686860608809474
7.0,6612.962138849486,188.65766185784523,2033.1224112179468,374.89770882886006,1234.2324453544609,2679.281808554976,5158.335632646667,1.6857380733515004
8.0,6384.050762599845,188.57998108716706,2030.108135064553,378.49408294070344,1235.265554820455,2651.2961243036743,5150.803523766091,1.684643604704056
9.0,6269.243279317905,188.6968118036083,2032.9712607340864,374.1048992976357,1207.7570914856167,2615.702295342705,5128.752949818939,1.6838383123251595
10.0,6374.667541741293,188.88490719484057,2031.4384691252944,368.71307030130333,1188.6062739671268,2583.9076931660043,5145.841419832318,1.682696759010673
11.0,6392.711973124831,188.98521694053915,2029.1242065764898,372.96115787703206,1175.0250373060585,2554.354184491805,5152.709856553556,1.6815250570778562
12.0,6392.183456028515,188.9772328641032,2026.430824018381,374.95348087126905,1187.4610677028638,2582.0094926790916,5175.286182394836,1.6805625688904868
13.0,6403.852417814566,189.318780461307,2028.2385328806342,379.1858268661176,1200.6871707927307,2550.5372637687715,5179.935914631237,1.6793368715069117
14.0,6499.603042464821,188.99519218193308,2023.1446279208992,377.6722577321589,1184.8384533011615,2542.501066749977,5219.93523037839,1.6783211362611483
15.0,6511.722566302135,189.02319758242896,2027.8277007974652,376.84413462008916,1174.3531506554136,2523.9805732329824,5239.858220444853,1.6772515804930128
16.0,6712.1652333478505,188.77055303643678,2023.2630730350088,384.94308709395017,1200.5463419000619,2595.11623017157,5223.67190214408,1.6761178304175017
17.0,6480.275530677722,188.6296627626772,2019.4411165781673,374.9502146660159,1192.3251093318195,2581.8240063421504,5212.148500011357,1.675156050414006
18.0,6300.047867567812,188.8997081069491,2024.9480613856592,374.5252329347057,1164.6671888932863,2538.6522200543754,5239.694266322939,1.6740049256124796
19.0,6250.859879528111,188.77718268014158,2023.9281868738733,371.31103165253484,1160.0567946636654,2526.8517449362125,5201.963300373075,1.672984138484487
20.0,6387.249094581307,188.41673869690192,2022.766998341346,366.53101195949796,1171.8067379934032,2540.5244588150035,5236.887285363002,1.6718204065701832
21.0,6009.834882306212,188.73898895712304,2030.568247167248,365.5262552533102,1174.3794449832055,2525.594029038652,5211.012606780521,1.6707357827140432
22.0,5850.039863060276,188.91192665220476,2032.218027868715,363.0371399824015,1180.8247287257789,2465.1834805667513,5206.053826595989,1.669612835357493
23.0,5647.70423589089,189.05428079647183,2038.472271720951,357.8518315317641,1172.8661145733934,2457.993817250308,5190.060665766704,1.6686827327916067
24.0,5777.734588685793,189.33492744264498,2044.0128742259922,361.68860645831296,1181.1918965139885,2454.709797418213,5238.768197553688,1.6676035826966382
25.0,5724.0069927946315,189.91676133674787,2046.8617849893815,367.62358552032873,1186.6218283145936,2421.9869673197763,5217.803709481641,1.6663953634283872
26.0,5764.575914628206,189.68622760502933,2037.7512969006955,367.8903977832085,1168.7937754407023,2420.0971844158234,5269.613921759731,1.6652254505350887
27.0,5764.62672143675,189.44303881594595,2031.8775845300738,370.26387179952036,1143.789553346923,2373.594484409866,5269.238333204727,1.6642454146689183
28.0,6115.958291281159,189.25365671499384,2029.1285120787968,382.66541528594047,1145.4800057833347,2388.2208907360005,5292.195886933304,1.663262999120498
29.0,6187.234495750766,189.54372427400648,2038.2479733511184,393.99584060780046,1130.1271211907042,2408.373077761173,5335.960609256603,1.6624447375608955
30.0,6104.312599097409,189.90870411989192,2039.2126622530905,400.5552876361898,1133.8689013276762,2494.9666833905935,5335.084822742098,1.6614057769829997
31.0,5683.954424828613,190.20777660374893,2039.8709352583319,390.8244308849297,1140.4507482542472,2520.688462544262,5262.7559918712595,1.6604258971436598
32.0,5899.98399600318,189.904379794176,2040.7613288301857,394.0096281933175,1148.030896453999,2523.28558903668,5274.994680783515,1.6593629701872652
33.0,5905.325513032942,190.01307228780826,2036.8028850361213,398.4033309309075,1153.4129029672401,2541.5857727944763,5263.795290498152,1.6583349792013022
34.0,6056.540175137214,189.9467385277439,2034.4919046779742,401.04398325857557,1159.0531889028246,2509.4588193969635,5301.006691072781,1.6572201017717216
