,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6500.069589733218,189.32639363534363,2048.3668263481836,383.79172579161377,1138.4871310248784,2528.1245907946127,5200.414410810368,1.6934030593874971
1.0,6425.7334310322285,188.99862494389433,2043.6575123998011,382.79289602809,1148.5990273106174,2582.714465323324,5222.00019734971,1.6923525847676832
2.0,6576.1953877093065,188.8826426611611,2033.3827634639777,379.8461551511744,1130.5232828340468,2588.612370422531,5227.666610374949,1.6913822155144407
3.0,6395.751750845987,189.06270868946626,2035.4509627628902,380.8515432391681,1135.521825763094,2568.442393782281,5231.514774822769,1.6902163661540548
4.0,6482.085369985751,189.0008159416905,2030.7645760431237,392.7240674238221,1119.9611572209212,2596.308267419582,5227.974887107191,1.6892408573013906
5.0,6438.0697881381775,188.72765738690632,2027.7039552867132,388.71895530611323,1133.175410331929,2558.145961448469,5213.3020465568625,1.688151484652686
6.0,6114.212878315867,188.81027868449024,2031.2024091644612,387.2527255717244,1125.6876313079408,2555.8271793962085,5191.224583368981,1.6869135559307828
7.0,5979.558943639336,188.84199061306734,2030.5673917505208,380.858238411542,1117.5024543100683,2528.2624634463136,5175.702498375132,1.685943806766919
8.0,5945.380750302814,188.70671543751723,2027.0626243611036,378.70317942948765,1111.4486129202744,2534.858710742673,5147.13741815996,1.6849084693619742
9.0,5778.8491962124335,188.81175082035767,2027.0123209532862,374.95583897139073,1100.4479505251356,2488.6009230407585,5115.735812511744,1.683869113787796
10.0,5840.057682806336,188.5693787768406,2019.5671291261872,375.35136953110526,1091.2553794616276,2436.1153248700757,5099.948865738503,1.682806559984318
11.0,5850.383319043497,188.94336367374692,2021.7776152820923,379.3592130584048,1090.2163520876777,2445.1053793591104,5117.117952646912,1.6817515806635246
12.0,5866.597824907861,188.5341551997782,2016.7187361221042,377.23194572697696,1087.5397610443165,2448.3270056577376,5121.311642477406,1.6808570849270448
13.0,6065.973107514373,188.54537718891908,2010.8797552014544,384.39064183396954,1094.6072063813594,2479.569345728413,5134.69132916994,1.6798213222555567
14.0,6213.06076372579,188.97803437867026,2012.7993218539393,388.14526758333994,1094.693005464009,2494.6699981457873,5149.7636923133205,1.678816141186344
15.0,6365.230993121253,188.928396847501,2006.769903309424,388.2124085633919,1089.1993885700913,2486.4368660941063,5184.907535103518,1.6778401571220365
16.0,6511.274042869198,188.35480901884793,2000.5551102191228,395.5195354568357,1086.3237825690298,2556.4484409781157,5173.941524034623,1.6769128458619584
17.0,6484.758894660611,188.73384843994873,2006.2840172526803,386.70499269037055,1091.4340356664652,2469.6401861874997,5174.293414698026,1.675895423206435
18.0,6320.1941532343535,188.84476474672027,2012.6838444199523,378.8351680970049,1099.499470954751,2476.586910809453,5180.802487997558,1.6748756479750913
19.0,6473.6535882993,188.5652160644278,2013.6492325498095,385.63592085786155,1101.057859533949,2493.0935393438085,5193.077657386386,1.6738133216053566
20.0,6398.627270368817,188.824370890134,2015.5928065601447,389.57106569352055,1101.6347967226836,2451.506188002509,5145.461969952424,1.672721013719156
21.0,5972.8601304927115,188.83531732643604,2021.0805374329059,384.70999176440785,1079.9250921306311,2427.1558831327347,5143.289010905838,1.671753873482267
22.0,6367.213434045153,188.76836711023725,2021.9904049574207,398.13039467588925,1076.2645689593126,2431.091563926204,5165.861119720052,1.6707392206253764
23.0,6459.523356227324,188.8665120914918,2025.8414253706205,392.9476747674909,1077.209439811264,2392.5960084425274,5194.539358643793,1.6694612747505917
24.0,6504.821498851566,189.15952779964925,2030.8535354702778,399.27235002548736,1089.4132732629153,2441.2915891737707,5199.223641714254,1.6683791513415211
25.0,6642.818014318768,189.3046261469989,2028.7311810697167,401.9686320286425,1088.0683689004206,2411.8885620847623,5206.457527678395,1.667324889895723
26.0,6671.842819107363,189.68334417262753,2031.562355604694,404.4597528515346,1098.238195760629,2439.0859209040646,5203.956991703859,1.6661639110167024
27.0,6677.955764967889,189.71160498299113,2037.6980694518502,400.71518841738146,1123.9209772456622,2386.3005522697285,5199.511610173354,1.665331635888983
28.0,6492.283608080596,189.67474277987247,2039.5806822773902,399.4788415015613,1151.2192611322653,2428.977156369266,5158.945265897158,1.6643970318857473
29.0,6425.527017262871,189.677276791144,2040.6419960308965,410.9257992256525,1141.5249086307342,2429.4958257768035,5161.12192614279,1.6633372503163066
30.0,6242.46288893951,189.74532201656024,2043.7214886065187,410.3525905156222,1137.2645603210874,2456.2895422030338,5176.407826534428,1.6621808429506237
31.0,6207.8491196281875,189.45236500884803,2038.538418712702,413.3383355897735,1122.8208323474798,2464.3844105222106,5176.40181521124,1.66117393505721
32.0,6342.7885232002145,189.865058221599,2039.6352169520194,415.84352113997204,1112.056038227262,2471.9963746363323,5194.765748864866,1.6601517151883065
33.0,6107.766804045544,190.20743237635318,2040.8691548223574,413.3523194788077,1100.2524309057324,2454.4368478119923,5165.876869075603,1.6591279683538387
34.0,6021.341763589813,190.29546542678221,2034.751072719904,416.66139690001313,1080.5417366045947,2501.888411400127,5145.963825175003,1.6579573225270923
35.0,5815.958906044962,190.389141774979,2037.8793429458094,423.6811371342026,1060.4387691371226,2518.8855187715594,5139.2866700364475,1.6569470550958325
36.0,6065.7812957753995,190.00768231657196,2031.864080094065,419.6923092992194,1062.76968051187,2508.420659411481,5152.21046776167,1.6558793622734138
37.0,6129.242682013223,190.09820927985862,2032.3298108128897,417.28481665352547,1081.95302235921,2438.041115475975,5142.701277001256,1.6547210422228877
38.0,6166.4471155933015,189.94341848936617,2034.7584066408863,416.55096840360414,1099.9944224792057,2469.144000829104,5125.088103534295,1.6537201937451789
39.0,6453.798930949877,189.6478108906166,2025.0281739691432,423.4245085173258,1111.7089940058888,2414.844356718675,5129.641602625174,1.6525082712655037
40.0,6561.110803283197,189.782536531265,2021.0463608988798,424.9113587672724,1122.8582113936939,2505.1426918622406,5127.192300989134,1.6514538202753455
41.0,6564.040294789104,189.67128953400714,2020.430330619033,421.9478736972875,1138.6851299861987,2511.452661390966,5132.3938300940135,1.6504362866436326
42.0,6788.732912634185,189.3861444309571,2019.8084337300552,420.93607813333693,1167.2694270383793,2532.1392985512243,5125.462808129963,1.649340497341756
43.0,6664.590883412751,189.5415390999111,2023.7773517009887,413.994154156447,1168.1915272741678,2579.466569991943,5099.303174178329,1.6483278202171945
44.0,6815.895342980406,189.63536232262814,2027.3658308384622,412.493822344346,1181.5428132568752,2594.7395424313795,5095.624008668776,1.6471135535474852
45.0,6769.845385366802,189.61700271959393,2032.970059412864,417.94374304067276,1165.8588245905714,2560.630696862249,5133.774271637648,1.6460682060543428
46.0,6752.564818275249,190.14990402805114,2041.0759152243663,421.6700014569026,1178.4695578761853,2567.22052233473,5152.239156775852,1.64484818303646
47.0,6764.548480989744,190.57388918049023,2044.8253009982427,422.1114285644051,1194.393896356672,2593.0989148471886,5144.314610776821,1.643762610130319
48.0,6749.689382156472,191.01182931820696,2046.793127729627,427.63767751021845,1189.4352824299149,2646.667693551347,5154.989243159617,1.642722912394205
49.0,7083.291210445869,191.31427103953507,2042.0268021448478,439.5390256527625,1207.886022090285,2713.82228100617,5177.618167017983,1.6417970615810755
50.0,7043.835021993138,191.48685419472136,2044.7027039153838,435.5342795713376,1227.02184229213,2674.426078981206,5164.799133272172,1.6407208586883184
51.0,6861.097820861108,191.84572853960043,2056.248719985564,441.84504792129405,1228.4803804935432,2705.054389628691,5183.554804503462,1.6397428139871084
52.0,6544.507456265892,192.05285842731365,2065.2464694420564,433.6709375850461,1214.8546284720892,2695.0313956597624,5165.988464572551,1.6386682422179222
53.0,6740.91302550275,191.82319782470793,2069.256391678178,442.9193328942045,1266.999739955706,2728.8416599118036,5152.806076749923,1.6376971655067245
54.0,6631.291766438884,191.9235800845501,2074.7470737630224,427.18785527368703,1297.2022154397787,2767.2469947403665,5145.011070349059,1.6367405834434303
55.0,6166.205736930414,192.14695481284147,2073.786843672697,423.9666769799005,1291.8613530037562,2740.4217924044665,5111.783870916264,1.6356709480001184
56.0,6071.184111211245,192.04156012347752,2071.2121079043427,417.57852587180884,1314.014872128158,2760.2256710620604,5064.52592613076,1.6347226764238079
57.0,6036.220151107236,191.9191774839283,2063.2360209709595,416.5574671403079,1323.4587501356032,2758.2966681718913,5036.668950010211,1.6336948713118433
58.0,5833.009175470198,191.6188210799733,2065.033717711728,416.52059703243316,1349.4817475618884,2707.1554101746738,5003.544389128342,1.6326448879701525
59.0,5783.176772908135,191.78791687815854,2071.5929430912724,416.4020750113383,1337.5234108896145,2735.1882458312025,4980.664694812428,1.6316816968307757
60.0,5645.661614502916,191.7069915411045,2069.492350339168,410.193799757602,1356.052370729472,2771.629952952461,4924.192305585582,1.630625211197023
61.0,5816.8650606884485,191.63005491046027,2074.2146462489795,420.5576076979712,1404.072942454193,2778.6490549433024,4949.658775345227,1.6297922432217617
62.0,5854.82595618995,191.6113738561682,2066.7707789390347,425.88639562874357,1407.4013658713927,2816.3168714935264,4996.363473302458,1.6287022282848929
63.0,6029.322952757374,191.57273436549085,2073.2223427106305,428.43370937934185,1397.3841628380521,2829.3588563475982,5037.923124708898,1.627476826417096
64.0,6048.085182818431,191.55153513380665,2068.278332850364,439.28032189760506,1399.0132620065497,2845.0291365257585,5039.3536706995765,1.6264184630309833
65.0,6077.311820533352,191.80420598285744,2066.170949779126,439.85239481817393,1405.1862502461597,2854.204209304524,5014.438669685062,1.625373503559335
66.0,6124.327945901047,191.64928830515555,2063.8151423866134,447.334247185244,1432.1407462242018,2846.3861733857034,5024.280187817317,1.6242361842462323
67.0,6244.576856489424,191.54420398785072,2062.04919136609,445.41823889288077,1441.4070662857227,2892.6033372389456,5042.302462163725,1.6233600274837952
68.0,6174.435154517109,191.44222224395696,2060.01764948222,441.0658479581903,1443.4901118038938,2874.385482142536,5004.440817755144,1.6223464482257943
69.0,6229.051298349561,191.951997268317,2064.0732064962253,435.8737994560695,1439.854677326113,2825.5364656965758,5004.457811819968,1.6213315517454425
70.0,6358.693866638426,191.8407199140623,2058.512623633309,441.08384358317517,1433.4291340259374,2825.749379547021,5024.312739625106,1.6203633770180175
71.0,6044.961699120875,192.07011015822442,2062.4951637286817,417.79655821772513,1435.348739835874,2805.0199376178184,4955.806290083464,1.619351914559282
