,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6548.460619178335,189.26479981376977,2041.3761756593858,393.9398443497699,1145.5550028942316,2579.035556917032,5227.444906604185,1.693207287464395
1.0,6362.881266760599,189.24286920623555,2044.559506754894,386.88643801637085,1170.788576793034,2630.134680184109,5192.656612329661,1.6921600456817698
2.0,6376.987347156752,189.2271355471082,2041.5224400736656,382.51012927310893,1204.1220865553123,2621.2419912695304,5246.698205166725,1.6911735906566239
3.0,6536.394133624889,189.21114651262386,2046.1474827232867,386.01590447188346,1223.1633303197125,2684.520413934173,5221.322741571673,1.6901511854792928
4.0,6498.776535745174,189.17510252880143,2047.5439548889258,389.7410852349265,1229.6274234864811,2732.433655176819,5224.253262451823,1.6891578721833531
5.0,6502.626658895753,189.2066902475426,2050.577187051699,406.2054674259021,1219.820903149355,2721.6934351936393,5227.919924618317,1.6880393206664308
6.0,6462.915393581149,189.26753443039186,2055.2873567674296,416.40685391147434,1196.135509449159,2745.4772783855597,5215.936296356663,1.686885084002114
7.0,6353.6226792000425,189.28994376123762,2050.7310565449034,401.6443986988222,1196.312939301074,2677.693144804961,5191.212237840588,1.685913937586116
8.0,6289.775015822672,189.73939875769523,2053.668182675382,406.7011864295294,1202.0754021192488,2666.6046171717812,5197.777980230447,1.685047488687431
9.0,6098.437580555589,189.71693130940747,2053.184318692452,405.63272415712083,1210.99519513324,2641.9465868065563,5183.1119905926025,1.6839894818788677
10.0,6151.808369886883,189.4823583480887,2050.944918857678,403.15646309096616,1209.2643959130764,2637.486699888806,5190.567892327564,1.6829831797290047
11.0,5972.056510912321,189.09075196464676,2050.6903299043906,396.1307711607589,1195.8575428041713,2584.931456626959,5150.695042034216,1.6820830546273946
12.0,5958.840120059624,188.96509203751822,2047.898496395398,388.69245863903626,1199.796467142045,2630.537380868465,5162.656567623834,1.680983056341081
13.0,6327.827034804322,188.80934908261585,2044.1486998851806,397.51364539512537,1212.831108660221,2629.9733067722723,5189.326183420269,1.6798444313115215
14.0,6336.374031084798,188.77514442350386,2051.878983768733,395.05941370525824,1204.0151606479155,2596.465156419578,5206.900582433984,1.678789031556885
15.0,6219.258183205337,188.65816938976045,2054.2416540711465,401.10397876752654,1189.2082525705405,2587.910306926749,5226.030868631651,1.6778646757515538
16.0,6308.488094514985,188.61879299453892,2050.238723892739,404.1635041666851,1218.4875012889518,2565.693374989264,5233.481953830689,1.6767287526465653
17.0,6157.009441522284,188.4186672875046,2052.5634689443023,403.2057617542434,1180.4176496898572,2582.107963915418,5219.666749847516,1.6757564428150042
18.0,6012.49583622476,188.33492306379674,2046.9138781243348,402.0553603343337,1178.820623609854,2555.4966743737536,5210.402841798682,1.674719340063303
19.0,6156.835577397957,188.0867384433997,2044.4717095602196,402.7499754303322,1179.1972759541472,2590.758159066549,5223.296928142952,1.6736414587504103
20.0,6493.521844286931,188.3650595474838,2045.197123585712,412.14834591950614,1182.8085047312252,2577.23316375169,5243.61096978664,1.6725885396182194
21.0,6460.833374436895,188.16120639559105,2041.833805988358,408.42351458478583,1194.2258765155486,2623.5540814745164,5232.110660401787,1.671626648177519
22.0,6547.357550944121,188.2396283387686,2041.5323210316133,414.01394167883063,1191.318519228946,2603.7685348527625,5226.606505986902,1.6705391177414421
23.0,6487.931348118156,188.14611975983658,2041.5283484055087,418.47669604612076,1176.819041927649,2601.2274851201823,5205.365869684916,1.6696183640685784
24.0,6343.682443387164,188.3369089491459,2049.377225629909,410.4397574340453,1166.977010377901,2633.112554304674,5191.244719398383,1.668645313810858
25.0,6338.740440256536,188.54685316904343,2051.3662261926584,409.9565289110113,1147.3596153340854,2612.707526776666,5177.639959635068,1.6677138750348792
26.0,6297.45027100147,188.36688614139695,2056.9270133521222,417.4088891367559,1143.5891208126666,2635.434878590823,5153.505316718703,1.6666288396307942
27.0,6279.776719434042,188.05694155595555,2055.32940193553,407.5536019366642,1151.2604115487982,2663.5259630387213,5135.156382614467,1.6656507513224503
28.0,6112.093812648575,187.8157944577571,2052.630465425001,394.79494224302175,1149.601623778566,2725.3507702663715,5152.33058361135,1.664532678922003
29.0,6428.388453478659,187.7418868812538,2048.464579810502,401.7471364062689,1174.0102195274867,2767.380457553709,5175.132225210948,1.6636327901876788
30.0,6824.5444444031755,187.73464314526845,2047.8999355931726,407.33411081710693,1175.7112625015093,2735.1359418748857,5217.280702189486,1.6624994844569312
31.0,7052.595605787216,188.00426858677383,2050.4589555380203,415.70482004772396,1187.471428894182,2701.397914550902,5232.950016431636,1.6614652270980852
32.0,7123.408231918287,188.25533817404275,2054.1948782499594,422.28490032627303,1193.3818163671722,2657.013514548872,5245.695706576768,1.6603891578120296
33.0,7404.577277689581,188.0113043499248,2049.606665118866,420.8355923141255,1198.075401411336,2707.437338532556,5265.133082145279,1.659340685290786
34.0,7502.545530395364,187.72467913404108,2053.7178598431356,422.85626348294085,1190.154807170007,2695.5534612276388,5266.336881570973,1.6583187643181196
35.0,7476.029550798348,187.89322783269998,2047.8137010150488,424.18686566325624,1210.7440385917878,2722.6645495562416,5270.687636416331,1.6573357522546215
36.0,7463.450326872576,187.43640490773208,2042.5517914767831,425.8411119221479,1220.178633566131,2716.9523872753184,5253.187027065938,1.6562231806691297
37.0,7498.313805084521,187.44628238363757,2039.7227678210813,431.27212535343153,1220.7562908040597,2710.842103006964,5232.56448862498,1.6552033891761522
38.0,7580.469408547042,187.33127781415737,2040.8657689480417,445.15956110193974,1216.0432257539746,2662.697365185836,5252.466745448106,1.6544305592482562
39.0,7678.933859661928,187.51385088201627,2043.2453717719914,459.1564149415642,1258.0774588659206,2652.280232371079,5252.877693096275,1.6533627461507865
40.0,7498.844285020109,187.58473841154702,2045.0382061280354,444.5258998523106,1284.397119657103,2685.018371566812,5238.508857967054,1.6522798140325676
41.0,7414.813436066782,187.93126093623138,2052.5109774311877,447.73640542508207,1263.9371442123318,2634.3087035349763,5261.164553275614,1.6511962155252367
42.0,7535.070378052443,187.78463272099455,2052.3966029426824,451.26647991116664,1252.808724038314,2603.6418210045663,5255.011159226227,1.6499184468770474
43.0,7445.0062244442715,187.8774888708073,2051.4390165943496,467.32404859846264,1244.8360750869017,2580.9749316553325,5256.410503082036,1.6486691612767732
44.0,7372.654196251633,187.87733783594672,2051.5347134521385,466.762453772646,1239.2991077194433,2546.012130692704,5222.167604113874,1.6476129922855425
45.0,7415.825242755419,187.98666744816086,2057.193586765934,462.20977914624535,1253.3747057056003,2621.420875034924,5210.267496240581,1.6465606509699968
46.0,7571.385602897973,187.76507931849162,2052.611507615007,468.9706772907556,1250.0724196773533,2607.2104409477606,5203.9694838385585,1.6454273660794299
47.0,7560.971016025479,187.64974254335883,2055.865251367079,466.9814672325262,1242.1765395570712,2517.681554312344,5197.347633387241,1.6444092899603042
48.0,7600.866321159641,187.59176723793084,2052.220007774196,475.9011449312864,1256.9074541489615,2519.0871397376045,5238.784865549147,1.6432587022351892
49.0,7742.751409089759,187.69531468530377,2049.345200937674,464.4293347699768,1277.433681518365,2569.6352346828567,5259.6555824345105,1.642165622721818
50.0,7324.3161338939835,187.68495016413107,2048.529820500589,453.8291381554044,1266.3751046899374,2566.7429725594648,5239.115427922115,1.6411703710414651
51.0,7013.943640171092,187.62921717781785,2054.0109142067176,452.11169912207174,1290.7445609874449,2591.787403092572,5219.978126793783,1.6400471442494138
52.0,6927.406534595009,187.6485441289347,2047.7069686697248,458.68838085745233,1283.6619569964976,2581.629853898758,5191.666856102746,1.6389763811072533
53.0,7008.832149461313,187.706211090532,2048.560760926415,455.2537058311263,1282.0643963713235,2589.1955319695794,5216.201341180588,1.6379286242454723
