Date,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
2001-01-02,2128.780029296875,100.04499816894531,938.8400268554688,88.6500015258789,333.3500061035156,4022.429931640625,1785.8599853515625,6.371250152587891
2001-01-03,2528.3798828125,100.36299896240234,933.6199951171875,90.05000305175781,335.5199890136719,4044.5,1875.56005859375,6.286250114440918
2001-01-04,2460.0400390625,100.52300262451172,938.3699951171875,89.87000274658203,347.2300109863281,4124.89990234375,1855.8199462890625,5.866250038146973
2001-01-05,2267.85009765625,100.7030029296875,943.4500122070312,88.27999877929688,348.55999755859375,4140.60986328125,1807.1300048828125,5.695000171661377
2001-01-08,2281.5400390625,100.68599700927734,944.9500122070312,88.41000366210938,348.1199951171875,4136.27001953125,1804.0400390625,5.616250038146973
2001-01-09,2311.39990234375,100.64099884033203,942.4500122070312,88.62999725341797,351.8699951171875,4159.3798828125,1810.97998046875,5.62375020980835
2001-01-10,2413.7099609375,100.52999877929688,939.0800170898438,88.6500015258789,349.4599914550781,4208.56982421875,1828.5,5.650000095367432
2001-01-11,2524.2900390625,100.71099853515625,938.3200073242188,88.51000213623047,350.260009765625,4176.41015625,1847.3699951171875,5.676249980926514
2001-01-12,2506.050048828125,100.5790023803711,934.030029296875,88.47000122070312,353.2300109863281,4179.66015625,1835.5400390625,5.678750038146973
2001-01-16,2470.719970703125,100.53900146484375,935.27001953125,88.5199966430664,356.3900146484375,4135.02978515625,1847.1300048828125,5.738749980926514
2001-01-17,2558.669921875,100.5479965209961,938.510009765625,88.5999984741211,360.19000244140625,3983.830078125,1851.1600341796875,5.738749980926514
2001-01-18,2670.469970703125,100.76200103759766,942.4099731445312,88.70999908447266,365.010009765625,4062.010009765625,1876.93994140625,5.648749828338623
2001-01-19,2655.679931640625,100.7699966430664,939.6400146484375,88.63999938964844,370.4800109863281,4173.14990234375,1869.3800048828125,5.611249923706055
2001-01-22,2643.1298828125,100.8280029296875,938.4500122070312,88.83000183105469,370.3599853515625,4157.4501953125,1869.8900146484375,5.581250190734863
2001-01-23,2730.050048828125,100.88400268554688,936.4199829101562,89.37999725341797,372.2900085449219,4099.330078125,1894.25,5.572500228881836
2001-01-24,2726.449951171875,100.74400329589844,936.27001953125,89.41000366210938,371.82000732421875,4064.659912109375,1899.7099609375,5.610000133514404
2001-01-25,2595.85009765625,100.84100341796875,938.1699829101562,89.61000061035156,372.20001220703125,4092.909912109375,1890.27001953125,5.597499847412109
2001-01-26,2631.780029296875,100.9520034790039,938.9099731445312,89.36000061035156,370.7900085449219,4117.35009765625,1886.800048828125,5.567500114440918
2001-01-29,2694.530029296875,100.96900177001953,938.4500122070312,89.55999755859375,369.8299865722656,3995.64990234375,1899.75,5.542500019073486
2001-01-30,2686.139892578125,100.97200012207031,941.5399780273438,90.04000091552734,373.2699890136719,3992.1201171875,1913.1300048828125,5.525000095367432
