,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6240.436738691668,189.7970326857893,2046.1542039535734,381.2122772993382,1132.1587811034333,2520.0379388044157,5227.473911162251,1.693165710699262
1.0,6412.232455199301,190.21244250880318,2047.8299561909353,384.01722543055297,1130.4734503840866,2527.2729811532163,5247.517730607131,1.6920885640575036
2.0,6445.997662591403,190.5273796939019,2051.956191961078,383.98382530598525,1129.4149374834183,2518.260008427196,5279.682249201087,1.6911326792673422
3.0,6390.193375331985,190.81547404585862,2058.906790614706,384.2206919429372,1132.9075970693561,2449.1571399256172,5285.665768520072,1.690109630627796
4.0,6483.815869869502,190.6736489831367,2059.173385095031,379.2019003507989,1153.5728884347502,2461.7793517519,5294.897579650624,1.6891662806743784
5.0,6329.933273351785,190.3502290385904,2064.833919303522,372.06884060314206,1163.6166782433231,2518.483171585617,5284.3075317790735,1.6881479478544357
6.0,6290.778232636521,190.30938564069734,2070.8426625401794,374.8580971566032,1156.397584052409,2518.4261702693143,5260.917196346444,1.6869082426207942
7.0,6323.484677885366,190.29021009701222,2075.0231287910938,371.3894898808714,1162.6299095661868,2544.5236120841746,5255.188276975042,1.685802529662539
8.0,6323.003991304677,190.1750811351586,2082.1155796658786,379.6206936844474,1168.4720264658392,2512.8490228042433,5263.075262087218,1.6845908688315236
9.0,6497.378040863847,189.54710094436007,2071.3521169417872,371.25673924434795,1203.0769663018675,2608.04732341149,5265.995361115478,1.6835129001925364
10.0,6513.996317683581,189.72676394409112,2076.811406312053,366.83773489743413,1187.6859445629734,2571.8883314600344,5265.700822737666,1.6825368900992694
11.0,6701.24445172307,189.58196653579105,2071.262710074227,368.10794132957733,1190.4073063014857,2621.1033990617602,5256.132917797867,1.6816518971277106
12.0,6599.051913758222,189.60272179627145,2076.6477594599096,367.28788310495355,1179.0921102820769,2605.2157614819284,5274.884450495228,1.680834034784591
13.0,6759.219423365047,189.6448031010764,2072.649255669063,368.40093248253726,1206.9159975210857,2629.0835058239145,5284.795660530463,1.6798571379746066
14.0,6755.522247994375,189.98454497662195,2083.860529709271,369.6209975736263,1218.2960266137466,2573.1104482769942,5287.476578285551,1.6787400288062353
15.0,6745.421197177953,189.90576039871772,2083.647030043245,367.0728572416563,1203.9734465625006,2509.9766663177134,5289.604868527948,1.6776851478925026
