Date,Close,Volume,SMAVG (15)
12/29/2017,1158.45,18883799040,31648129024
12/28/2017,1153.58,27330398208,31399872512
12/27/2017,1144.39,50157826048,30840262656
12/26/2017,1138.63,12104916992,28877819904
12/25/2017,1141.11,9836776448,29097517056
12/22/2017,1141.09,37903257600,29716578304
12/21/2017,1134.38,56055078912,29520128000
12/20/2017,1132.85,66576769024,28275984384
12/19/2017,1132.2,31328872448,24897146880
12/18/2017,1130.39,20592214016,24143554560
12/15/2017,1118.5,29436286976,23839666176
12/14/2017,1121.22,44207075328,23667511296
12/13/2017,1118.81,28818589696,21849761792
12/12/2017,1112.37,18374617088,21603983360
12/11/2017,1119.97,23115456512,22633924608
12/8/2017,1110.78,15159966720,23610877952
12/7/2017,1100.54,18936246272,25956892672
12/6/2017,1101.19,20721162240,32939808768
12/5/2017,1117.69,15400392704,34223185920
12/4/2017,1121.95,19122679808,35436097536
12/1/2017,1115.94,34956521472,35304796160
11/30/2017,1120.79,37392908288,34323562496
11/29/2017,1141.38,15894210560,34570362880
11/28/2017,1146.5,20024979456,34615799808
11/27/2017,1144.33,16033913856,35099611136
11/24/2017,1154.26,26853935104,34647523328
11/23/2017,1152.4,16940848128,33942568960
11/22/2017,1156.67,25131905024,33808250880
11/21/2017,1150.98,33823729664,33311963136
11/20/2017,1136.1,37769777152,32189540352
11/17/2017,1136.45,50350174208,30689665024
11/16/2017,1125.36,1.2368E+11,28450772992
11/15/2017,1111.12,39971827712,21141958656
11/14/2017,1118.32,33594048512,19539245056
11/13/2017,1123.26,17153193984,18222778368
11/10/2017,1128.49,20237981696,17869264896
11/9/2017,1133.78,41094959104,17517826048
11/8/2017,1134.68,16575709184,15985442816
11/7/2017,1134.55,27282196480,15918880768
11/6/2017,1131.03,9252596736,15144091648
11/3/2017,1126.18,16279585792,15625973760
11/2/2017,1127.31,14926100480,15496755200
11/1/2017,1128.94,17687562240,15594503168
10/31/2017,1119.08,16987405312,16192161792
10/30/2017,1115.53,15271636992,16049577984
10/27/2017,1110.22,16766804992,16016021504
10/26/2017,1108.17,14047775744,16729161728
10/25/2017,1114.09,15931132928,16996131840
10/24/2017,1113.32,13847045120,16867585024
10/23/2017,1115.9,11850469376,17029361664
10/20/2017,1119.69,14966410240,17271912448
10/19/2017,1116.91,18109208576,17215463424
10/18/2017,1126.9,15577283584,17293428736
10/17/2017,1125.66,15660357632,17630488576
10/16/2017,1131.82,16480828416,18123220992
10/13/2017,1125.91,14341299200,18466320384
10/12/2017,1121.62,16392325120,18840403968
10/11/2017,1117.33,26652438528,19124944896
10/10/2017,1112.53,14848650240,18882537472
10/9/2017,1100.42,14768297984,19217983488
10/6/2017,1103.12,27463909376,19301093376
10/5/2017,1102.76,18052325376,19318046720
10/4/2017,1101.84,14002920448,19482845184
10/3/2017,1097.03,16273702912,20632958976
10/2/2017,1082.97,15488717824,21524215808
9/29/2017,1081.72,14119670784,21952659456
9/28/2017,1072.38,19278714880,22634039296
9/27/2017,1078.57,20633178112,22508587008
9/26/2017,1080.11,23051329536,22773268480
