Date,Close,Volume
12/11/2000,1259.1,3971922944
12/12/2000,1253.39,3596599552
12/13/2000,1245.03,3807386880
12/14/2000,1233.08,3707879424
12/15/2000,1211.47,4941186048
12/18/2000,1216.82,3341419264
12/19/2000,1207.5,3797242368
12/20/2000,1178.16,4254855168
12/21/2000,1179.3,4994362880
12/22/2000,1197.95,2851001856
12/25/2000,1201.88,291294272
12/26/2000,1206.91,1026058496
12/27/2000,1219.15,2127409920
12/28/2000,1222.04,2212816896
12/29/2000,1221.25,2128965376
1/1/2001,1221.25,50000
1/2/2001,1201.87,2473356544
1/3/2001,1227.49,4088866048
1/4/2001,1227.17,5408561152
1/5/2001,1211.43,4288611328
1/8/2001,1206.86,3769812480
1/9/2001,1200.3,4241456128
1/10/2001,1202.42,4755871744
1/11/2001,1213.18,4726899712
1/12/2001,1211.98,4650812416
1/15/2001,1210.64,2030792960
1/16/2001,1212.34,3793299968
1/17/2001,1219.39,4528363520
1/18/2001,1233.7,4372994048
1/19/2001,1229.6,5255636992
1/22/2001,1229.82,3788132352
1/23/2001,1238.2,3549487872
1/24/2001,1236.39,3964045824
1/25/2001,1233.86,4017600768
1/26/2001,1231.86,3831221504
1/29/2001,1236.39,3463099648
1/30/2001,1243.55,3904909312
1/31/2001,1244.22,4217048064
2/1/2001,1249.18,3740210432
2/2/2001,1229.95,3171438080
2/5/2001,1232.54,3108616704
2/6/2001,1230.11,3521646848
2/7/2001,1219.2,4413045248
2/8/2001,1207.95,3417376256
2/9/2001,1194.63,3973494272
2/12/2001,1207.96,2787834880
2/13/2001,1198.79,3493121024
2/14/2001,1191.44,4152849664
2/15/2001,1196.28,3619375104
2/16/2001,1180.34,3683854336
2/19/2001,1179.56,1774364032
2/20/2001,1162.4,3303612928
2/21/2001,1146.8,3777764608
2/22/2001,1142.87,4175192064
2/23/2001,1134.8,3959423744
2/26/2001,1150.12,3383388416
2/27/2001,1149.07,3618963456
2/28/2001,1137.88,3892743168
3/1/2001,1137.19,4331501056
3/2/2001,1130.22,4204905728
3/5/2001,1135.52,3088262400
3/6/2001,1149.1,3885480192
3/7/2001,1152.02,3799446016
3/8/2001,1152.92,3687158016
3/9/2001,1133.75,3592828672
3/12/2001,1093.1,3580492288
3/13/2001,1090.84,4184414464
3/14/2001,1066.23,4633556992
3/15/2001,1075.17,4203985664
3/16/2001,1050.53,4852758016
3/19/2001,1059.48,3202138368
3/20/2001,1052.21,3377293824
3/21/2001,1039.6,4289627136
3/22/2001,1014.63,4995592704
3/23/2001,1039.65,4107144960
3/26/2001,1063.74,3935712768
3/27/2001,1086.02,3842953216
3/28/2001,1065.4,3924618752
3/29/2001,1055.2,3973865472
3/30/2001,1061.26,3685911040
4/2/2001,1050.52,3364531968
4/3/2001,1024.6,4169179904
4/4/2001,1031.47,4689485824
4/5/2001,1062.64,4268118272
4/6/2001,1053.08,3608617728
4/9/2001,1057.97,3029336064
4/10/2001,1075.24,4102602240
4/11/2001,1075.41,4425612288
4/12/2001,1088.62,3094960128
4/13/2001,1088.11,410273376
4/16/2001,1082.29,1438964224
4/17/2001,1085.9,3425245696
4/18/2001,1118.76,4927135232
4/19/2001,1135.06,5317570560
4/20/2001,1130.58,4524673024
4/23/2001,1117.04,3287910400
4/24/2001,1108.9,3668038912
4/25/2001,1120.2,3413444864
4/26/2001,1128.38,3948876544
4/27/2001,1137.86,3625337088
4/30/2001,1138.09,2812632576
5/1/2001,1153.09,2717211392
5/2/2001,1153.8,4665863168
5/3/2001,1139.21,3962385664
5/4/2001,1150.75,3481264384
5/7/2001,1151.14,2033640704
5/8/2001,1144.19,3415742208
5/9/2001,1137.11,3351332864
5/10/2001,1141.98,3818814464
5/11/2001,1132.91,3071177728
5/14/2001,1125.21,2762433792
5/15/2001,1131.69,3262344960
5/16/2001,1148.86,3795574272
5/17/2001,1155.64,4005104384
5/18/2001,1155.99,3642490624
5/21/2001,1168.5,3218140416
5/22/2001,1166.37,4223716864
5/23/2001,1153.57,3604824576
5/24/2001,1154.27,2835229440
5/25/2001,1143.75,2842690816
5/28/2001,1143.95,712941440
5/29/2001,1136.42,3242315008
5/30/2001,1120.56,4002880768
5/31/2001,1121.09,3771440384
6/1/2001,1122.64,3399615488
6/4/2001,1127.68,2239655424
6/5/2001,1137.82,3330354432
6/6/2001,1128.34,3664125696
6/7/2001,1132.69,3307038208
6/8/2001,1125.45,3872502272
6/11/2001,1113.11,2753329664
6/12/2001,1106.23,4103443968
6/13/2001,1103.44,3565624064
6/14/2001,1091.97,3735752704
6/15/2001,1085.37,5212465152
6/18/2001,1077.86,3196721920
6/19/2001,1079.16,3798712832
6/20/2001,1081.7,4067299328
6/21/2001,1090.43,4022592000
6/22/2001,1087.42,3496391168
6/25/2001,1085.17,3119570432
6/26/2001,1078.83,3594528512
6/27/2001,1074.66,3297074432
6/28/2001,1080.88,4295260672
6/29/2001,1084.79,4445616128
7/2/2001,1095.41,3150326016
7/3/2001,1090.63,2867312128
7/4/2001,1086.94,1614276864
7/5/2001,1071.72,3626520832
7/6/2001,1050.75,3692696320
7/9/2001,1056.09,3229708800
7/10/2001,1049.79,3354283008
7/11/2001,1045.7,3778946048
7/12/2001,1062.59,3859768320
7/13/2001,1066.91,3146267648
7/16/2001,1060.29,2482477568
7/17/2001,1060.6,3254656256
7/18/2001,1058.78,3474469888
7/19/2001,1066.98,3821581824
7/20/2001,1063.46,3142093568
7/23/2001,1049.46,2902569728
7/24/2001,1039.12,3379531776
7/25/2001,1046.54,3504375552
7/26/2001,1053.15,3394636544
7/27/2001,1058.54,3259623424
7/30/2001,1060.17,2635239168
7/31/2001,1069.67,3273161472
8/1/2001,1075.67,3255302400
8/2/2001,1082.97,3844570880
