Date,Close,Volume,SMAVG (15)
12/29/2017,1533.38098,241282688,306151072
12/28/2017,1542.12097,148267376,310637888
12/27/2017,1539.63196,172040640,321820960
12/26/2017,1537.03003,162788832,335138432
12/22/2017,1540.53003,216393296,352910208
12/21/2017,1541.91199,258554608,364117824
12/20/2017,1543.42798,272492128,387244864
12/19/2017,1546.06799,293406848,394886496
12/18/2017,1550.88,312684352,395766144
12/15/2017,1542.776,960426112,393499200
12/14/2017,1528.448,313773024,337753024
12/13/2017,1532.89197,327350400,333152160
12/12/2017,1531.29797,320619360,331221856
12/11/2017,1530.96497,295885824,328130656
12/8/2017,1524.96106,296300672,332460256
12/7/2017,1517.09204,308584768,331704896
12/6/2017,1510.98206,316013312,331362592
12/5/2017,1508.07605,371803040,332614496
12/4/2017,1511.01599,429365600,329137888
12/1/2017,1521.06396,384507072,321365568
11/30/2017,1526.07495,605460608,316634688
11/29/2017,1512.02295,387116480,296299904
11/28/2017,1523.13794,306601760,292768480
11/27/2017,1513.84802,278680160,296499008
11/24/2017,1513.06299,124233336,299780416
11/22/2017,1508.09705,244760096,315142944
11/21/2017,1509.21301,298395744,321542496
11/20/2017,1496.37402,274251456,327030112
11/17/2017,1494.73401,360829664,331917984
11/16/2017,1500.30005,284970272,335706592
11/15/2017,1486.82202,303450368,340207360
11/14/2017,1497.14404,334791616,344898400
11/13/2017,1500.22302,319654272,343035808
11/10/2017,1498.62207,312780768,342894912
11/9/2017,1499.22571,313543808,347397024
11/8/2017,1506.73328,300438624,345694272
11/7/2017,1502.62097,334145152,342480768
11/6/2017,1501.01404,362559680,337130944
11/3/2017,1497.23779,327901344,329426560
11/2/2017,1488.15198,354671136,325398368
11/1/2017,1488.03198,340753536,321939744
10/31/2017,1487.34497,380710144,318041952
10/30/2017,1485.99902,347569152,309170144
10/27/2017,1488.53601,417658912,301678176
10/26/2017,1465.802,352482080,291150720
10/25/2017,1465.16699,373815552,285350112
10/24/2017,1471.00903,306852736,277324320
10/23/2017,1469.51294,317541184,272950016
10/20/2017,1477.52405,380312448,270260512
10/19/2017,1472.02295,288002336,265912944
10/18/2017,1473.37805,252236176,264379168
10/17/2017,1472.81104,253897520,267704704
10/16/2017,1470.23401,246994352,269273504
10/13/2017,1467.82397,267478480,275697280
10/12/2017,1465.40906,302791328,275479680
10/11/2017,1465.198,282286816,274343168
10/10/2017,1460.45105,247633312,277282880
10/9/2017,1459.27795,235189440,281049280
10/6/2017,1459.87097,259747184,286269696
10/5/2017,1459.19495,265472944,326056864
10/4/2017,1449.89099,253428528,330066016
10/3/2017,1447.74805,241238064,332356640
10/2/2017,1444.70801,277198624,335278720
9/29/2017,1441.36597,315098976,336950752
9/28/2017,1434.24805,264995808,335564128
9/27/2017,1432.401,302119264,338318080
9/26/2017,1424.92896,277429440,338419296
9/25/2017,1423.58105,343351200,340446976
9/22/2017,1432.56799,264214064,332946784
9/21/2017,1432.08496,285743968,340782656
9/20/2017,1438.14099,326382176,338525440
9/19/2017,1438.724,304129504,332676416
9/18/2017,1437.896,313495648,328869792
9/15/2017,1437.77905,856554624,324065760
9/14/2017,1436.13,325610496,284645728
9/13/2017,1438.48499,287787648,279596256
9/12/2017,1438.73901,285069312,277488832
9/11/2017,1436.40405,302279264,277173248
9/8/2017,1422.63904,294299616,281269280
9/7/2017,1427.42004,306305120,281674496
9/6/2017,1423.16101,303637152,278832256
9/5/2017,1419.30603,307844960,276104320
9/1/2017,1427.90906,230848080,273908864
8/31/2017,1427.15002,381752128,275650848
