Date,Close
12/29/2017,2046.37
12/28/2017,2043.55
12/27/2017,2044.89
12/26/2017,2038.66
12/22/2017,2035.93
12/21/2017,2036.38
12/20/2017,2033.9
12/19/2017,2037.67
12/18/2017,2044.98
12/15/2017,2048.32
12/14/2017,2048.67
12/13/2017,2047.54
12/12/2017,2041.21
12/11/2017,2042.1
12/8/2017,2042.43
12/7/2017,2042.53
12/6/2017,2046.82
12/5/2017,2044.26
12/4/2017,2041.6
12/1/2017,2042.83
11/30/2017,2037.02
11/29/2017,2040.31
11/28/2017,2044.07
11/27/2017,2044.57
11/24/2017,2043.38
11/22/2017,2044.93
11/21/2017,2040.18
11/20/2017,2038.47
11/17/2017,2039.59
11/16/2017,2038.78
11/15/2017,2040.83
11/14/2017,2036.88
11/13/2017,2034.96
11/10/2017,2034.69
11/9/2017,2041.94
11/8/2017,2044.14
11/7/2017,2046.23
11/6/2017,2045.41
11/3/2017,2042.78
11/2/2017,2042.32
11/1/2017,2039.51
10/31/2017,2039.64
10/30/2017,2040.18
10/27/2017,2033.79
10/26/2017,2030.6
10/25/2017,2031.5
10/24/2017,2035.11
10/23/2017,2037.83
10/20/2017,2035.91
10/19/2017,2041.15
10/18/2017,2039.37
10/17/2017,2043.58
10/16/2017,2042.54
10/13/2017,2045.11
10/12/2017,2040.7
10/11/2017,2038.67
10/10/2017,2038.55
10/6/2017,2035.35
10/5/2017,2037.37
10/4/2017,2039.36
10/3/2017,2039.48
10/2/2017,2038.36
9/29/2017,2038.46
9/28/2017,2038.55
9/27/2017,2036.98
9/26/2017,2044.52
9/25/2017,2045.01
9/22/2017,2040.42
9/21/2017,2038.72
9/20/2017,2038.38
9/19/2017,2041.26
9/18/2017,2041.44
9/15/2017,2043.48
9/14/2017,2043.48
9/13/2017,2042.84
9/12/2017,2044.49
9/11/2017,2047.9
9/8/2017,2053.83
9/7/2017,2054.45
9/6/2017,2049.61
9/5/2017,2053.6
9/1/2017,2044.52
8/31/2017,2048.21
8/30/2017,2045.43
8/29/2017,2045.93
8/28/2017,2044.46
8/25/2017,2043.17
8/24/2017,2040.89
8/23/2017,2042.86
8/22/2017,2038.65
8/21/2017,2041.43
8/18/2017,2039.82
8/17/2017,2039.85
8/16/2017,2037.33
8/15/2017,2033.06
8/14/2017,2037.06
8/11/2017,2038.35
8/10/2017,2036.83
8/9/2017,2035.46
8/8/2017,2031.74
8/7/2017,2034.56
8/4/2017,2033.38
8/3/2017,2037.5
8/2/2017,2034.06
8/1/2017,2034.75
7/31/2017,2030.01
7/28/2017,2030.05
7/27/2017,2027.29
7/26/2017,2029.59
7/25/2017,2024.71
7/24/2017,2032.27
7/21/2017,2034.31
7/20/2017,2030.64
7/19/2017,2029.88
7/18/2017,2029.63
7/17/2017,2025.01
7/14/2017,2023.05
7/13/2017,2020.7
7/12/2017,2022.5
7/11/2017,2017.9
7/10/2017,2016.92
7/7/2017,2013.89
7/6/2017,2015.95
7/5/2017,2019.15
7/3/2017,2017.4
6/30/2017,2021.31
6/29/2017,2024.24
6/28/2017,2028.06
6/27/2017,2029.25
6/26/2017,2034.6
6/23/2017,2032.99
6/22/2017,2031.81
6/21/2017,2031.49
