Date,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity
9/27/2001,-0.033848823,0.517559724,0.546862428,0.045773978,-0.069657585,-0.006689722
9/28/2001,-0.03462176,0.518256112,0.547430216,0.046584294,-0.070879087,-0.006769776
10/1/2001,-0.034040847,0.517644165,0.547055433,0.046474807,-0.070421562,-0.006711996
10/2/2001,-0.034196628,0.517436536,0.547024393,0.046051583,-0.069697198,-0.006618686
10/3/2001,-0.036808914,0.518775836,0.548604135,0.045424128,-0.069439944,-0.006555241
10/4/2001,-0.037184841,0.519413125,0.549315734,0.046013872,-0.070885862,-0.006672028
10/5/2001,-0.037522202,0.519832375,0.549592861,0.045839926,-0.071150685,-0.006592274
10/9/2001,-0.036757954,0.519980133,0.548930151,0.04609556,-0.07163906,-0.00660883
10/10/2001,-0.038571901,0.521054092,0.550302807,0.046476587,-0.07261876,-0.006642825
10/11/2001,-0.041247082,0.523862357,0.552027226,0.047151486,-0.075005309,-0.006788678
10/12/2001,-0.04133254,0.523568138,0.551936268,0.046992739,-0.07456584,-0.006598766
10/15/2001,-0.040752008,0.522424867,0.551692042,0.04713226,-0.074001005,-0.006496156
10/16/2001,-0.04152109,0.523084749,0.552997671,0.046685649,-0.074727131,-0.006519848
10/17/2001,-0.038692492,0.521751471,0.552275937,0.046283714,-0.07516763,-0.006451
10/18/2001,-0.039116218,0.521818889,0.552077514,0.045853256,-0.07426095,-0.00637249
10/19/2001,-0.03969397,0.522860769,0.552328609,0.045606964,-0.074579312,-0.00652306
10/22/2001,-0.04078509,0.523920593,0.553327058,0.045061767,-0.074998918,-0.006525409
10/23/2001,-0.040846331,0.524425594,0.553396098,0.045072819,-0.075582587,-0.006465594
10/24/2001,-0.042044968,0.525374027,0.555132414,0.044650625,-0.076536178,-0.00657592
10/25/2001,-0.043598732,0.525966666,0.555834118,0.044794606,-0.076471642,-0.006525015
10/26/2001,-0.042865418,0.525711871,0.555763294,0.044758897,-0.076833404,-0.00653524
10/29/2001,-0.040240695,0.524062901,0.554272958,0.044707529,-0.076251515,-0.006551178
10/30/2001,-0.039108992,0.522620443,0.552942316,0.04447066,-0.074464006,-0.006460422
10/31/2001,-0.039647594,0.521141917,0.554750159,0.044723284,-0.074597069,-0.006370696
11/1/2001,-0.041346734,0.521745757,0.555359189,0.045455018,-0.074962605,-0.006250625
11/2/2001,-0.04154118,0.523805492,0.554536427,0.045170711,-0.075749199,-0.006222251
11/5/2001,-0.043120167,0.524676362,0.556513134,0.045247496,-0.077179878,-0.006136947
11/6/2001,-0.044330106,0.524481164,0.557480808,0.045838786,-0.077375064,-0.006095588
11/7/2001,-0.044242436,0.523986029,0.55785743,0.045512846,-0.077004869,-0.006109
11/8/2001,-0.043967929,0.524904344,0.557780569,0.045822207,-0.078232905,-0.006306287
11/9/2001,-0.044174006,0.525565219,0.558123147,0.04565274,-0.078690659,-0.006476441
11/13/2001,-0.046235305,0.526667612,0.559412158,0.046494092,-0.079932161,-0.006406396
11/14/2001,-0.046579712,0.527964129,0.559323519,0.046975633,-0.081538093,-0.006145475
11/15/2001,-0.04679305,0.530021258,0.55804734,0.047689938,-0.083114663,-0.005850823
11/16/2001,-0.046967589,0.53152781,0.557035164,0.047890981,-0.083502266,-0.005984099
11/19/2001,-0.047927614,0.531035144,0.5597816,0.0478893,-0.084768199,-0.006010231
11/20/2001,-0.045842626,0.53078836,0.557182245,0.047606511,-0.083614014,-0.006120477
11/21/2001,-0.046059468,0.531552199,0.55658244,0.047947407,-0.083913218,-0.00610936
11/23/2001,-0.046932354,0.533133937,0.557135455,0.04833494,-0.085516328,-0.006155651
11/26/2001,-0.048291269,0.534692861,0.558606565,0.048307036,-0.087240054,-0.006075139
11/27/2001,-0.048008981,0.532811653,0.560095345,0.048208206,-0.086906561,-0.006199662
11/28/2001,-0.046183972,0.531559765,0.557196355,0.048060489,-0.084556422,-0.006076214
11/29/2001,-0.04724398,0.529823498,0.558864085,0.048179661,-0.083653498,-0.005969766
11/30/2001,-0.047104379,0.53033724,0.558788423,0.048066475,-0.083960412,-0.006127347
12/3/2001,-0.046236543,0.530389656,0.559292095,0.047786297,-0.085047534,-0.006183971
12/4/2001,-0.04817831,0.530879021,0.560951516,0.048409714,-0.085971666,-0.006090275
12/5/2001,-0.05128823,0.535246273,0.56241856,0.049295295,-0.089545696,-0.006126202
12/6/2001,-0.05142174,0.536401101,0.562567927,0.049781786,-0.091323959,-0.006005115
12/7/2001,-0.050231766,0.537223186,0.561203032,0.050022157,-0.092138214,-0.006078395
12/10/2001,-0.049221529,0.536351715,0.560259648,0.049488383,-0.090901178,-0.005977039
