Date,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,index_price,Interest_rate
2001-01-02,2128.780029296875,100.04499816894531,938.8400268554688,88.6500015258789,333.3500061035156,4022.429931640625,0.9851861596107483,6.371250152587891
2001-01-03,2528.3798828125,100.36299896240234,933.6199951171875,90.05000305175781,335.5199890136719,4044.5,0.9948261380195618,6.286250114440918
2001-01-04,2460.0400390625,100.52300262451172,938.3699951171875,89.87000274658203,347.2300109863281,4124.89990234375,0.9955335259437561,5.866250038146973
2001-01-05,2267.85009765625,100.7030029296875,943.4500122070312,88.27999877929688,348.55999755859375,4140.60986328125,0.9903072118759155,5.695000171661377
2001-01-08,2281.5400390625,100.68599700927734,944.9500122070312,88.41000366210938,348.1199951171875,4136.27001953125,0.988764226436615,5.616250038146973
2001-01-09,2311.39990234375,100.64099884033203,942.4500122070312,88.62999725341797,351.8699951171875,4159.3798828125,0.9854286909103394,5.62375020980835
2001-01-10,2413.7099609375,100.52999877929688,939.0800170898438,88.6500015258789,349.4599914550781,4208.56982421875,0.985258936882019,5.650000095367432
2001-01-11,2524.2900390625,100.71099853515625,938.3200073242188,88.51000213623047,350.260009765625,4176.41015625,0.9898753762245178,5.676249980926514
2001-01-12,2506.050048828125,100.5790023803711,934.030029296875,88.47000122070312,353.2300109863281,4179.66015625,0.988052248954773,5.678750038146973
2001-01-16,2470.719970703125,100.53900146484375,935.27001953125,88.5199966430664,356.3900146484375,4135.02978515625,0.9884854555130005,5.738749980926514
2001-01-17,2558.669921875,100.5479965209961,938.510009765625,88.5999984741211,360.19000244140625,3983.830078125,0.9919375777244568,5.738749980926514
2001-01-18,2670.469970703125,100.76200103759766,942.4099731445312,88.70999908447266,365.010009765625,4062.010009765625,0.9991064667701721,5.648749828338623
2001-01-19,2655.679931640625,100.7699966430664,939.6400146484375,88.63999938964844,370.4800109863281,4173.14990234375,0.9967812299728394,5.611249923706055
2001-01-22,2643.1298828125,100.8280029296875,938.4500122070312,88.83000183105469,370.3599853515625,4157.4501953125,0.996831476688385,5.581250190734863
2001-01-23,2730.050048828125,100.88400268554688,936.4199829101562,89.37999725341797,372.2900085449219,4099.330078125,1.0001617670059204,5.572500228881836
2001-01-24,2726.449951171875,100.74400329589844,936.27001953125,89.41000366210938,371.82000732421875,4064.659912109375,0.9988662004470825,5.610000133514404
2001-01-25,2595.85009765625,100.84100341796875,938.1699829101562,89.61000061035156,372.20001220703125,4092.909912109375,0.998458981513977,5.597499847412109
2001-01-26,2631.780029296875,100.9520034790039,938.9099731445312,89.36000061035156,370.7900085449219,4117.35009765625,0.9981558322906494,5.567500114440918
2001-01-29,2694.530029296875,100.96900177001953,938.4500122070312,89.55999755859375,369.8299865722656,3995.64990234375,1.000074863433838,5.542500019073486
2001-01-30,2686.139892578125,100.97200012207031,941.5399780273438,90.04000091552734,373.2699890136719,3992.1201171875,1.0036420822143555,5.525000095367432
2001-01-31,2593.0,101.14700317382812,945.9000244140625,89.80999755859375,379.0199890136719,3927.75,1.0050514936447144,5.421249866485596
2001-02-01,2607.159912109375,101.177001953125,949.280029296875,89.72000122070312,377.6400146484375,4071.39990234375,1.0078320503234863,5.389999866485596
2001-02-02,2472.179931640625,101.06300354003906,945.8499755859375,89.41999816894531,376.7300109863281,4205.27001953125,0.9992145895957947,5.397500038146973
2001-02-05,2467.300048828125,101.22200012207031,945.6900024414062,89.33999633789062,370.3299865722656,4066.780029296875,1.0010653734207153,5.409999847412109
2001-02-06,2473.239990234375,101.177001953125,943.7899780273438,89.2699966430664,371.5,4069.35009765625,0.9997035264968872,5.409999847412109
2001-02-07,2409.659912109375,101.34200286865234,944.2899780273438,88.9000015258789,365.510009765625,4174.52001953125,0.9959179162979126,5.409999847412109
2001-02-08,2355.669921875,101.28099822998047,944.2100219726562,88.54000091552734,367.760009765625,4188.4599609375,0.9908806085586548,5.408750057220459
2001-02-09,2261.77001953125,101.43800354003906,946.7899780273438,87.83999633789062,368.17999267578125,4151.43994140625,0.9864701628684998,5.409999847412109
2001-02-12,2286.85009765625,101.45800018310547,945.7899780273438,87.95999908447266,368.6499938964844,4081.0,0.9919182658195496,5.387499809265137
2001-02-13,2208.39990234375,101.55899810791016,944.52001953125,87.81999969482422,370.42999267578125,4095.179931640625,0.9883379936218262,5.388750076293945
2001-02-14,2305.820068359375,101.47599792480469,942.75,87.9800033569336,369.05999755859375,4024.3798828125,0.9846299886703491,5.400000095367432
2001-02-15,2371.0400390625,101.36100006103516,940.7899780273438,88.11000061035156,372.7099914550781,3969.969970703125,0.9855518937110901,5.412499904632568
2001-02-16,2212.510009765625,101.43699645996094,944.3099975585938,87.9000015258789,369.2099914550781,3987.60009765625,0.9798353314399719,5.409999847412109
2001-02-20,2095.110107421875,101.50299835205078,944.7999877929688,87.77999877929688,366.3299865722656,3950.469970703125,0.9728105068206787,5.380000114440918
2001-02-21,2058.5400390625,101.54299926757812,943.47998046875,87.19000244140625,357.0299987792969,3917.760009765625,0.9660901427268982,5.369999885559082
2001-02-22,2032.4200439453125,101.41000366210938,943.780029296875,86.37000274658203,350.4200134277344,3924.969970703125,0.9639043211936951,5.34499979019165
2001-02-23,2056.06005859375,101.5530014038086,945.8400268554688,86.73999786376953,348.0899963378906,3941.669921875,0.9613787531852722,5.300000190734863
