Date,nasdaq100,mk,us_bond,reits,commodity
2011-12-29,0.047674091756229504,0.5666685398766083,0.30688284021951084,0.0372195128558027,0.04155501529184839
2011-12-30,0.04751084113197656,0.566791223093123,0.30716119888780324,0.037049119742287785,0.04148761714480919
2012-01-03,0.048354053811448694,0.5655221401831031,0.30602605059119736,0.03730165609590897,0.04279609931834168
2012-01-04,0.04853913024475167,0.5657579825919944,0.3059915658716501,0.03666405720869716,0.04304726408290643
2012-01-05,0.048918414647238506,0.5657314630871529,0.3058474493317023,0.03704432127263014,0.04245835166127597
2012-01-06,0.04900413700915383,0.5658182086691028,0.3059238087863714,0.036812611126792745,0.042441234408579144
2012-01-09,0.04888026460243563,0.5658698107452605,0.3060859116721218,0.03670768618800037,0.04245632679218146
2012-01-10,0.0491728360187563,0.5651699700234547,0.3057599971878139,0.03712974787658149,0.042767448893393414
2012-01-11,0.04917471963706662,0.5653682098314842,0.3058528900765363,0.03725650428160254,0.04234767617331016
2012-01-12,0.04941106607669696,0.5657975430170863,0.30594621288563695,0.037006241669446674,0.04183893635113311
2012-01-13,0.04912798794786839,0.5660019884764936,0.30632511781205696,0.03703438961000583,0.04151051615357517
2012-01-17,0.049486050517177894,0.5652893106424479,0.30598538413605664,0.03728834701700016,0.041950907687317344
2012-01-18,0.05016899930723169,0.5649514967429905,0.30549575602952844,0.03756698267516271,0.04181676524508655
2012-01-19,0.050536059383407876,0.5645776195249291,0.305139560199792,0.037738334139923634,0.04200842675194722
2012-01-20,0.0505095332225049,0.5647871282047657,0.30505278285102955,0.038081522439338295,0.04156903328236141
2012-01-23,0.05051128981355006,0.5644730674792773,0.30481228822639533,0.03820170272900538,0.0420016517517718
2012-01-24,0.05042289130740477,0.5644002471062902,0.30473320439824864,0.03846015967348786,0.04198349751456848
2012-01-25,0.05090657355470909,0.5638722454279715,0.30438376948684576,0.038823278901013725,0.04201413262945988
2012-01-26,0.050544216130239336,0.5637569481467859,0.304601627775451,0.03897862811145857,0.04211857983606513
2012-01-27,0.050622961734988745,0.5636820898652912,0.30452454548694396,0.03900056756929746,0.04216983534347855
2012-01-30,0.05065258287019641,0.5640396744267555,0.3049118682425073,0.03860544142227838,0.04179043303826224
2012-01-31,0.05064217565160418,0.5638827543825929,0.3049888418909056,0.03878313148778627,0.04170309658711075
2012-02-01,0.05104650366684179,0.563587017923982,0.3045020801718087,0.03916288757944401,0.041701510657923345
2012-02-02,0.051178862555673534,0.5635328113990181,0.3045927876690077,0.03920706728504715,0.04148847109125324
2012-02-03,0.05187962933857922,0.5626814393534052,0.30360769767252066,0.03977893106999603,0.04205230256549861
2012-02-06,0.051774533585875304,0.5626697856566151,0.30387170259462953,0.03957012782439483,0.04211385033848503
2012-02-07,0.05191064460852163,0.5624712235791502,0.30365124020889617,0.03956207703622061,0.04240481456721105
2012-02-08,0.05216320028908765,0.5621722155364214,0.30359972223030746,0.039588483844055763,0.04247637810012756
2012-02-09,0.05257575155707514,0.5619619272589604,0.30336530315994975,0.03928253988662028,0.04281447813739425
2012-02-10,0.0522061255038663,0.5626585941199926,0.3039258502111827,0.038894195020079084,0.04231523514487911
2012-02-13,0.05259171604799752,0.5620192116824335,0.30342776018497064,0.03931174977462545,0.04264956230997282
2012-02-14,0.052653500611189695,0.5622525740278463,0.30382939752590654,0.03875421145897101,0.04251031637608639
2012-02-15,0.05230898943034759,0.5622067127272113,0.304020361137145,0.038648000993823414,0.04281593571147267
2012-02-16,0.053052076638132835,0.5617293456495998,0.3031166741230563,0.03905863077739607,0.04304327281181509
2012-02-17,0.052912111997957215,0.5616156289653222,0.3032226701880374,0.0390578100628379,0.043191778785845264
2012-02-21,0.05306797782094183,0.5613687665867443,0.30313912213720023,0.038490099034828466,0.04393403442028513
2012-02-22,0.05281714143355922,0.5614782092254289,0.3035010169859611,0.0381001230819467,0.04410350927310382
2012-02-23,0.053011127284576645,0.5610685618329743,0.3030703383743411,0.03855300572904411,0.04429696677906382
2012-02-24,0.05314871757846693,0.560667364954591,0.3028967418460049,0.038549235124791255,0.04473794049614584
2012-02-27,0.053112982199880476,0.5609342310394793,0.3030801919814472,0.03845201585508125,0.04442057892411172
2012-02-28,0.05366919068085414,0.5610385353750781,0.30320204081357083,0.038170196965614855,0.043920036164881895
2012-02-29,0.05351296665643559,0.5611376031845536,0.30327447188405565,0.03810697661526663,0.04396798165968825
2012-03-01,0.053900095330482053,0.560657289415393,0.3025887239709124,0.038307460633009334,0.044546430650203056
2012-03-02,0.053820948594817515,0.5610061044732466,0.3029908207272922,0.03822192744202054,0.04396019876262294
2012-03-05,0.053312324704633686,0.5612414302690663,0.3029074720973007,0.0386058752723599,0.0439328976566393
2012-03-06,0.05281837922690358,0.5621793901008274,0.3036189571689457,0.03809950420618616,0.04328376929713695
2012-03-07,0.05318536380819934,0.5618536625626851,0.3030838437767809,0.03832041482304891,0.04355671502928559
2012-03-08,0.053783884803869066,0.5613885292048499,0.30280892178482144,0.03814315192290238,0.04387551228355696
2012-03-09,0.0539681529119768,0.5610534824312445,0.3025735037103079,0.03830051090343596,0.044104350043034486
2012-03-12,0.05393127492364288,0.561182195688633,0.3025381353240686,0.03848189911498789,0.04386649494866723
2012-03-13,0.054912225792983736,0.5601641919638229,0.3015320031394979,0.03929104988697615,0.0441005292167189
2012-03-14,0.05538203442103659,0.5602264745945217,0.3011505924921028,0.03931396523175538,0.0439269332605831
2012-03-15,0.055492721197197836,0.5601571145448281,0.3012824903139299,0.039292037833025796,0.04377563611101792
2012-03-16,0.055406141273158495,0.5597473170650351,0.30104559451516244,0.039471058281420994,0.04432988886522235
2012-03-19,0.055857681790317734,0.5594446714457126,0.30040814291484497,0.03981073549545705,0.04447876835366703
2012-03-20,0.055970773654565195,0.559886794787661,0.3005754297707751,0.0397473181512165,0.04381968363578162
2012-03-21,0.055834591660623954,0.5598963982719605,0.30088514343924044,0.03956679845052634,0.043817068177648195
2012-03-22,0.055785472211164915,0.5604347237674372,0.30130500435089264,0.039076855015733866,0.04339794465477073
2012-03-23,0.05562680401062703,0.5601372923813487,0.3011617436489591,0.03927123024737691,0.04380292971168746
2012-03-26,0.056504119364845215,0.5594949987086432,0.30057120859812547,0.03959979938915371,0.04382987393923145
2012-03-27,0.05651237761868593,0.5594058405564992,0.30082173931405043,0.03955364632494771,0.043706396185815614
2012-03-28,0.05632916683007987,0.5599779996666596,0.301008036455608,0.039483632761944505,0.04320116428570694
2012-03-29,0.056150377992621826,0.5605140655252432,0.30137707111311657,0.03949999479772134,0.04245849057129608
2012-03-30,0.056056123282899335,0.5602820376354867,0.30096580768154835,0.03989520383506994,0.04280082756499482
2012-04-02,0.056515981933334264,0.5594702146640591,0.30054011478285025,0.04005158597734082,0.043422102642414674
2012-04-03,0.05664930485210291,0.5595564098659713,0.30041213921351106,0.04000947787164377,0.04337266819677002
2012-04-04,0.05595858229394683,0.5605954811763817,0.3012574329130513,0.03963454409230851,0.042553959524310736
2012-04-05,0.056203364257582704,0.5603028120066957,0.30126590535734793,0.0394091992457027,0.04281871913266992
2012-04-10,0.054788507273575975,0.5620341220389972,0.30318488334216553,0.03812013306080494,0.04187235428445549
2012-04-11,0.05502573201802364,0.5616225686540566,0.3025789036177253,0.038598034392955685,0.04217476131723785
2012-04-12,0.05557278154630241,0.5608588818869866,0.3019318001153289,0.03904949667891478,0.04258703977246635
2012-04-13,0.05484283640665344,0.5606842202682799,0.303212340860717,0.03890468536920023,0.04235591709514854
2012-04-16,0.05430245101462219,0.5603732936389951,0.303782314185813,0.039558546530066456,0.04198339463050233
2012-04-17,0.05520355894049273,0.5605234632204893,0.3024594690729133,0.03976596968211522,0.04204753908398836
2012-04-18,0.05512965161810853,0.5604940677069585,0.3031876586249,0.03953039548610711,0.0416582265639248
2012-04-19,0.05458320771982246,0.5603693660934875,0.30373706202545625,0.03954726245563044,0.04176310170560223
2012-04-20,0.054325253321422004,0.5603790781887056,0.30329655431804836,0.04003420639561392,0.041964907776209176
2012-04-23,0.05399708022170166,0.5600013854917671,0.304388974564034,0.039665524139901785,0.04194703558259446
2012-04-24,0.053665507953811246,0.5601846895218553,0.30393617368679526,0.04026617995761073,0.04194744887992649
2012-04-25,0.0548399057050891,0.5602930763927615,0.3024039936741254,0.04053534627840862,0.04192767794961433
2012-04-26,0.055030970257825024,0.5603580428097686,0.3019669117328746,0.040532995037369374,0.04211108016216145
2012-04-27,0.055234142421707724,0.5603522421883674,0.3015428377484273,0.04070620268937197,0.04216457495212477
2012-04-30,0.054879304864787634,0.5604864786277628,0.3017949453270759,0.040646000659965736,0.0421932705204072
2012-05-01,0.05489852190829251,0.5606097555812314,0.3011403482921283,0.04102584197931505,0.042325532239032
2012-05-02,0.055056015627319134,0.5605325647513467,0.301645542810774,0.04099554178550739,0.04177033502505206
2012-05-03,0.05461626471353706,0.5604062667692483,0.3027356296720329,0.040917672016248095,0.04132416682893286
2012-05-04,0.05357168637421308,0.5600427653317305,0.30500268379992007,0.04080178524905991,0.040581079245075716
2012-05-08,0.05345914650070735,0.5595164788660993,0.3056579628347233,0.041070297016181916,0.040296114782287264
2012-05-09,0.05339323360092416,0.5592075612761322,0.306023182840099,0.0410201213070389,0.040355900975804875
2012-05-10,0.053308435562290056,0.5593587657840161,0.305947357059784,0.041065461630424197,0.04031997996348497
2012-05-11,0.050852811865612337,0.5911788563212235,0.32037624104186263,0.037592090771301545,0.0
2012-05-14,0.05053267865725673,0.5902788086687021,0.32195854783896855,0.03722996483507258,0.0
2012-05-15,0.05041550983870444,0.5900823557866844,0.322386057683285,0.03711607669132604,0.0
2012-05-16,0.05021360041359962,0.5895229620088612,0.32348254935176857,0.03678088822577055,0.0
2012-05-17,0.049419952149532084,0.5891224349024549,0.3255539348794304,0.035903678068582634,0.0
2012-05-18,0.048964006739083146,0.5891296104549151,0.3263478190749532,0.03555856373104863,0.0
2012-05-21,0.049994583662118466,0.589520720635085,0.32435068757768787,0.03613400812510857,0.0
2012-05-22,0.049962242814949556,0.5896160821532539,0.32415578791053495,0.03626588712126145,0.0
2012-05-23,0.05008291033835989,0.588867812631792,0.324712077628101,0.036337199401746845,0.0
2012-05-24,0.049811970337689186,0.5892036641651751,0.3244869515911835,0.03649741390595187,0.0
2012-05-25,0.0497422158130116,0.5891990066426633,0.3247196020006222,0.03633917554370264,0.0
2012-05-29,0.05022104879477121,0.5890365935071774,0.3239717885409168,0.03677056915713427,0.0
2012-05-30,0.04994924015477398,0.5878731559007175,0.32619322061344963,0.03598438333105865,0.0
2012-05-31,0.04969233853759738,0.5875272933518884,0.32653899294648575,0.036241375164028325,0.0
2012-06-01,0.04865657407986359,0.5864471541819323,0.32937751829135103,0.035518753446853006,0.0
2012-06-06,0.050055511174863405,0.5878725056914949,0.3254895276956627,0.03658245543797902,0.0
2012-06-07,0.04990153682632866,0.5877368131353502,0.3259958864363755,0.0363657636019456,0.0
